"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","135/1867","481/12387",6.38777398512537e-14,6.38777398512537e-14,3.07957945809202e-11,"40414/38468/32567/39697/38451/42930/34569/32114/44669/2768981/32757/42767/36156/38338/36571/35398/43580/32994/38752/38638/36239/37027/43782/34629/33606/38995/40833/36240/4379817/39569/36171/31429/42882/40164/32321/40549/43867/43819/33010/43099/37546/34000/41363/38062/40789/33602/43152/34908/34543/43650/33051/39682/31523/31162/2768719/44786/38469/43767/33957/34982/35332/35813/48785/42034/35662/48317/37655/40285/33607/33770/40398/37336/34673/43795/32613/35974/42717/42110/43769/39419/47763/36032/44275/31336/33823/39228/37973/31737/42757/41032/40830/39721/31391/43825/40835/34483/31802/31384/36603/35227/39821/40940/35509/41396/33183/37889/47285/43070/41944/5740414/37038/32536/38072/40990/34881/35540/41612/38012/35549/33229/42162/32723/41182/31430/41273/36073/41423/45328/31379/37978/43924/41069/40826/42428/39567",135
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","113/1867","385/12387",3.11783136705861e-13,3.11783136705861e-13,7.00380286132231e-11,"40414/38468/32567/39697/34569/35066/32114/44669/42767/36571/35398/32994/38752/38638/36239/43782/34629/33606/38995/40833/36240/4379817/39569/36171/31660/38733/31429/42882/32321/40549/43867/43819/33010/43099/37546/41363/40789/43152/34908/34543/43650/33051/39682/31162/42638/2768719/44786/38469/43767/34982/35332/35813/42034/35662/48317/40285/33607/33770/37336/34673/43795/42717/43769/39419/47763/36032/44275/31336/33823/39228/37973/41032/40830/39721/31391/43825/38490/40835/34483/32517/31802/31384/36603/35227/40940/41396/33183/37889/43070/41944/5740414/37038/32536/38072/40990/34881/35540/41612/42162/41182/41355/31430/41273/36073/41217/41423/45328/31379/37978/43924/41069/42428/39567",113
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","133/1867","483/12387",4.68312303247153e-13,4.68312303247153e-13,7.00380286132231e-11,"40414/38468/32567/39697/38451/42930/34569/35066/32114/44669/32579/42767/36571/35398/43580/32994/38752/38638/36239/37027/43782/34629/33606/38995/40833/36240/4379817/39569/36171/31660/38733/31429/42882/32321/40549/43867/43819/33010/43099/37546/34000/41363/38062/40789/33602/43152/34908/34543/43650/33051/39682/31162/42638/2768719/44786/38469/43767/33957/34982/35332/35813/48785/42034/35662/48317/37655/40285/33607/33770/40398/37336/44505/34673/43795/42717/42110/43769/39419/47763/36032/44275/31336/33823/39228/37973/31737/41032/40830/39721/31391/43825/38490/40835/34483/32517/31802/31384/36603/35227/40940/31027/35509/41396/33183/37889/47285/43070/41944/5740414/37038/32536/38072/40990/34881/35540/41612/35549/42162/32723/41182/41355/31430/41273/36073/41217/41423/45328/31379/37978/43924/41069/42428/39567",133
"GO:0000987","cis-regulatory region sequence-specific DNA binding","114/1867","393/12387",5.81101547445956e-13,5.81101547445956e-13,7.00380286132231e-11,"40414/38468/32567/39697/34569/35066/32114/44669/42767/36571/35398/32994/38752/38638/36239/43782/34629/33606/38995/40833/36240/4379817/39569/36171/31660/38733/31429/42882/32321/40549/43867/43819/33010/43099/37546/41363/40789/43152/34908/34543/43650/33051/39682/31162/42638/2768719/44786/38469/43767/34982/35332/35813/42034/35662/48317/40285/33607/33770/37336/34673/43795/42717/43769/39419/47763/36032/44275/31336/33823/39228/37973/41032/40830/39721/31391/43825/38490/40835/34483/32517/31802/31384/36603/35227/40940/41396/33183/37889/41265/43070/41944/5740414/37038/32536/38072/40990/34881/35540/41612/42162/41182/41355/31430/41273/36073/41217/41423/45328/31379/37978/43924/41069/42428/39567",114
"GO:0042802","identical protein binding","53/1867","148/12387",3.13720461548653e-10,3.13720461548653e-10,3.02492571345859e-08,"3772109/37345/31405/32183/2768981/42934/41151/49228/37552/32606/36060/40833/35425/41625/36118/35652/33473/41602/38788/43728/42064/43767/44355/48785/48317/39018/37655/41458/39527/44703/41737/34665/39936/36363/35007/42062/36251/33824/31802/40940/2769008/36508/40616/37038/41825/41168/35540/33814/37247/41182/41704/37978/35070",53
"GO:0008092","cytoskeletal protein binding","95/1867","341/12387",5.77388103996323e-10,5.77388103996323e-10,4.63936406368976e-08,"36578/326253/37410/35698/43015/40319/32314/35758/43901/37205/3346238/37749/40928/37643/42379/40849/32746/35532/32704/39153/39148/38438/34519/34850/36683/35170/32946/39813/36740/37521/42978/39520/40583/34170/43824/42846/40517/43739/43737/45931/39735/31240/37230/41656/33622/31729/36311/47729/31620/35007/33110/41425/36127/35340/38306/39332/36668/36473/33444/34719/35058/31179/39958/41392/32119/38490/53515/36072/42491/43310/34073/42871/35680/32049/41225/44013/38515/38611/41952/43441/34882/32478/44100/36329/40961/38067/40608/5740544/42889/41852/43770/2768680/35084/33156/41144",95
"GO:0046983","protein dimerization activity","98/1867","361/12387",1.4113223710056e-09,1.4113223710056e-09,9.72008490106109e-08,"3772104/32567/42930/3772496/37345/35066/32114/44669/3772166/31405/3772502/32183/2768981/3772271/41151/3772058/3772083/43580/49228/3772264/3771891/37552/37027/33712/38995/35368/40833/3772265/35425/41625/36118/42504/42560/32275/35652/326273/35207/43152/33473/41602/3772575/3772013/3772099/45234/42064/43767/35332/32976/44355/48785/48317/36654/37655/41458/39527/37336/44703/41737/34665/39936/3771957/36363/35007/42062/36251/3772081/3771809/36032/3772336/33824/36382/3772248/31802/31384/44885/40940/3772094/3772203/37767/3772299/36508/40616/37038/41825/39765/43229/35540/33814/41612/37247/34878/41182/41704/41273/3772276/37978/35070/32627",98
"GO:0042803","protein homodimerization activity","44/1867","123/12387",1.03223206300671e-08,1.03223206300671e-08,6.22055637969835e-07,"37345/31405/32183/2768981/41151/49228/37552/40833/35425/41625/36118/35652/33473/41602/42064/43767/44355/48785/48317/37655/41458/39527/44703/41737/34665/39936/36363/35007/42062/36251/33824/31802/40940/36508/40616/37038/41825/35540/33814/37247/41182/41704/37978/35070",44
"GO:0016247","channel regulator activity","18/1867","32/12387",8.40424774668205e-08,8.40424774668205e-08,4.50192452395366e-06,"14462605/2768718/40391/38504/33923/31955/43809/33028/39958/8674114/32682/39453/32126/37132/318064/31344/35814/38502",18
"GO:0019899","enzyme binding","107/1867","438/12387",1.19803180992818e-07,1.19803180992818e-07,5.77577440996955e-06,"32850/39329/41911/31639/3354888/34119/39385/31942/42055/40620/38961/41151/33638/35950/38721/43091/37134/39156/38456/33218/40342/31151/41785/41427/36643/43434/33881/38178/36990/43130/37820/38412/38844/40700/42515/45278/41783/33850/37521/37403/33139/40201/5740483/35895/34425/34169/37524/42150/39206/35420/43767/33003/41034/47121/43315/32976/44355/35336/38879/36311/32898/32088/43442/44496/41737/41425/39810/35340/43769/40410/36032/44115/41861/39721/31746/32256/40032/38505/37536/33563/36299/49070/46456/36673/43565/38591/39885/41320/38714/31945/44100/31293/41825/32796/34881/33814/31564/42005/5740544/42817/38244/41852/41704/40102/35287/44531/33156",107
"GO:0099106","ion channel regulator activity","16/1867","27/12387",1.65665823147836e-07,1.65665823147836e-07,7.26076047863245e-06,"14462605/2768718/40391/38504/33923/31955/43809/33028/39958/8674114/32682/39453/37132/31344/35814/38502",16
"GO:0008134","transcription factor binding","48/1867","154/12387",3.08892543782528e-07,3.08892543782528e-07,1.24098934256489e-05,"35552/34969/32567/33496/32114/3354888/2768981/38643/38070/38338/33212/33225/34430/33218/31151/38995/31251/36171/31660/31429/32321/40549/34908/41602/33565/43767/36260/35332/32976/42034/35662/33770/45976/36390/117294/43769/39198/31027/3346237/38082/41944/32536/39765/34881/35540/34225/41273/45328",48
