"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04391","Environmental Information Processing","Signal transduction","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","24/602","57/3549",5.8206742777674e-06,5.8206742777674e-06,0.000594321478887829,"42734/34573/33218/32752/47877/44861/41783/43651/32703/31521/32813/33613/33619/3346149/34924/35340/34009/35526/44100/32536/37247/36054/41273/33156",24
"dme04320","Organismal Systems","Development and regeneration","dme04320","Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)","14/602","28/3549",5.49552154535039e-05,5.49552154535039e-05,0.00280560836788941,"41666/3354888/39833/42752/45931/39018/44505/37455/42757/34648/38168/34521/31293/41140",14
"dme04330","Environmental Information Processing","Signal transduction","dme04330","Notch signaling pathway - Drosophila melanogaster (fruit fly)","12/602","25/3549",0.000310273578483234,0.000310273578483234,0.0105601884606574,"42313/31589/31840/41602/36555/44205/43558/31293/33467/34881/34263/40314",12
"dme04745","Organismal Systems","Sensory system","dme04745","Phototransduction - fly - Drosophila melanogaster (fruit fly)","14/602","33/3549",0.000487568338186444,0.000487568338186444,0.0124458233694961,"43828/34012/36384/45234/31521/32343/43118/48311/38993/246577/34991/35526/36329/40664",14
"dme04013","Environmental Information Processing","Signal transduction","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","27/602","94/3549",0.00279412986878488,0.00279412986878488,0.0570590731099228,"39158/3354888/35253/33212/39833/41785/34688/36606/41020/40549/45278/41363/48973/48317/36032/37455/42757/31391/31746/32256/39885/31667/34132/36054/41140/31379/37978",27
"dme04214","Cellular Processes","Cell growth and death","dme04214","Apoptosis - fly - Drosophila melanogaster (fruit fly)","19/602","63/3549",0.00644465655946375,0.00644465655946375,0.10967222566105,"3354888/40653/33638/43651/37729/44505/3355109/36251/37455/44936/31746/32256/34996/33231/35540/37247/36054/41140/53577",19
"dme04148",NA,NA,"dme04148","Efferocytosis - Drosophila melanogaster (fruit fly)","19/602","64/3549",0.0077557790055373,0.0077557790055373,0.113129408050694,"43828/36109/32567/3354888/43580/33418/38109/35799/45278/49297/3355130/37877/32947/39160/43501/36488/43558/326219/42817",19
"dme00512","Metabolism","Glycan biosynthesis and metabolism","dme00512","Mucin type O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","9/602","24/3549",0.0128804708340538,0.0128804708340538,0.147787167451016,"33485/33556/326151/36717/32836/33481/39714/261610/38346",9
"dme04080","Environmental Information Processing","Signaling molecules and interaction","dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","19/602","67/3549",0.0130266008423319,0.0130266008423319,0.147787167451016,"41638/44484/42530/37191/36217/41726/32703/37892/41713/33248/33007/39054/33231/2768688/43838/33942/34878/41017/32860",19
"dme00514","Metabolism","Glycan biosynthesis and metabolism","dme00514","Other types of O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","12/602","38/3549",0.0193123293841145,0.0193123293841145,0.197189047395695,"33485/33556/326151/36717/39262/32836/33481/39714/261610/38346/36564/40314",12
