gene_name,entrez_id
Lst,36853
pn,31194
lmgA,5740853
CG42307,7354423
CG11596,31158
GlcAT-S,34282
CG13300,38730
CG10738,39516
CG30158,50149
ect,44135
CG43693,39231
CG8786,40144
mnb,32771
Fili,5740472
trx,41737
DIP-alpha,31322
CG33181,318916
CG8915,32715
CCKLR-17D1,32860
CG7332,32885
LIMK1,32207
bru3,39527
CG42541,31344
Gycbeta100B,43682
Fign,33544
CG8475,34114
CG45002,32688
Alk,53425
GluClalpha,42350
Mef2,36032
olf413,40453
Ten-a,32183
CG14006,33802
jim,43924
Rim,42150
brat,35197
orb,42752
