gene_name,entrez_id
CG42828,10178934
CG12024,38243
CG1690,36004
Mpc1,42268
CG1598,35690
Prosbeta6,39855
rdhB,42614
CG31926,326174
yin,31340
BEAF-32,36645
Cpr64Ac,38510
CG4593,31649
Ric,36776
Nmd3,31195
CG32549,32822
Lsp2,32437
CG42559,246505
Oli,35066
RpLP0,40451
Dcp-1,37729
Ufm1,5740715
CG3894,37959
Syngr,36533
Eip71CD,39675
CG13516,3885599
CG14669,40652
CG33510,3346224
CG33939,26067037
MFS16,37427
Nacalpha,36409
Srp68,39028
CG2010,43475
CG10435,40948
CG12164,35651
mub,40436
Sobp,36260
ssp5,41465
CG10338,35124
Tengl4,41321
CG42263,7354413
cutlet,44637
Tsp29Fa,34211
koi,35594
CG11902,43070
Sr-CIII,44382
His2Av,43229
Bsg25A,33669
betaggt-II,47757
unc-119,31664
CG6421,46813
Vps35,37536
Hsp60C,33796
CG5555,42302
Gld,40875
His2B:CG33892,3772166
His2B:CG33896,3771957
His2B:CG33904,3772203
His2B:CG33890,3772336
His2B:CG33894,3772502
His2B:CG33898,3772248
His2B:CG33884,3772575
His2B:CG33888,3772104
His2B:CG33900,3772094
His2B:CG33870,3772081
His2B:CG33874,3772264
His2B:CG33908,3772099
His2B:CG33878,3771891
His2B:CG33882,3772276
His2B:CG33886,3772271
His2B:CG33902,3772058
His2B:CG33872,3771809
His2B:CG33906,3772013
His2B:CG33876,3772083
His2B:CG33910,3772299
His2B:CG33880,3772496
nSyb,38196
CG34256,5740297
spi,35253
ytr,47457
CG17323,35138
oys,36045
Usp8,42509
bol,39049
CG3823,31573
CG12945,41204
CG34231,5740811
Npc2d,41232
CG4000,42451
dup,47121
CG8173,32753
CG43327,12798323
CG34308,5740483
CG13806,38292
I-2,39156
TwdlW,42075
CG8993,38301
CG7370,40427
Ir41a,2768714
CG16959,39648
CG17716,36521
CG7536,32786
Hlc,33118
CG14526,43413
mil,43343
CG42272,318020
CG5697,42483
cactin,33043
CG11178,32315
CG3526,31277
fzy,34968
CG5916,41960
pgant2,33556
Mes2,40514
a,31521
CG31709,261620
CG14968,38406
CG11023,33155
CycB3,42971
xmas-1,44271
CG30392,246587
Trl,2768981
Ilp1,39149
CG14182,40181
pgant6,38346
Rbp1-like,33967
CG30058,246424
CG16865,34788
Lac,36363
l(3)72Dn,39774
Sec5,33563
pros,41363
VepD,117331
Sln,36263
ATPsynD,42291
IA-2,33277
mip120,36499
Cortactin,42491
GstD5,48338
Mmp2,35997
TfIIEalpha,39313
CG13847,42636
Ercc1,36654
Grip84,32946
Abp1,39520
CG4025,31177
lbm,35623
CG12902,36092
Su(var)205,34119
Cyt-c-p,34996
RhoGAP68F,39385
CG3198,31602
CG31016,326113
AP-2mu,42642
whd,36109
CG12861,36628
CG14020,33771
CG9837,41057
CG11658,39319
CG4612,37914
sra,41861
CG44956,19835010
CG9636,40967
Rchy1,33901
moody,31168
smid,38824
CG4660,31542
CG5830,39748
Hsp23,39077
CG42319,36473
Hsc70-5,36583
CG15141,35044
EloB,42435
PTPMT1,42807
mute,2768848
CG10915,37076
Klp3A,31240
CG13771,33933
B52,41670
Abd-B,47763
CG30046,36334
CG15870,36446
CG14718,41413
Rbcn-3B,31155
CG9272,35365
Spps,42882
CG43729,5740318
Mics1,40898
modSP,42032
CG3566,31562
Menl-1,3772542
CG44314,19834814
dome,32976
CG10147,38733
Atg17,40700
CG6693,41346
CG40006,3355123
RhoGAP16F,32790
lqfR,42632
l(2)k09913,37661
Lpin,35790
msl-2,33565
CG9812,37709
pcm,32935
mbf1,39842
elav,31000
pip,40104
TM9SF3,38635
CG5554,37775
CG12147,40651
ebi,33212
pgc,5740599
lola,44548
CG8918,32704
loh,34435
T3dh,37551
Tektin-A,34934
GluClalpha,42350
CG34235,5740771
fid,43148
CG4766,31533
Su(var)3-9,41483
CanA1,43670
usp,35540
Cib2,37363
CG43397,12798394
Rm62,40739
CG33125,318892
CG12768,40513
gcl,35864
CG9467,41207
CG3168,31612
CG12496,31226
Vrp1,37521
CG30431,35549
su(Hw),31271
CG4269,37578
rig,37335
pasha,43728
Zcchc7,39883
cv-2,45280
CG13693,33187
CG33096,326251
CG8009,39204
CG7565,38893
CG30271,246518
CG8927,41964
CG4676,36465
CG15186,40797
RN-tre,36554
pav,38515
CG11050,33924
CG15309,31949
Alh,40850
Smyd4-4,36299
XNP,43080
CG32066,39206
brp,35977
CG13675,38907
CG15822,38273
Mapmodulin,37043
Klp64D,38611
CG32544,318082
mnd,39625
CG14478,36964
CG4511,41305
dgt6,43441
Dh44,41170
Cadps,49968
His2B:CG33868,3772265
CG9135,33850
His2B:CG17949,326273
CG3777,30979
Xrcc2,32837
CG33098,326253
phyl,36606
CG46319,30522408
wdp,37548
mura,41145
CkIIalpha-i1,39721
nrv3,35408
CG14642,40532
CG17580,50228
CG34171,5740474
p130CAS,38021
Br140,35648
CG33639,32803
AcCoAS,40348
CG42340,7354472
CG2186,32017
nab,3346237
pre-mod(mdg4)-B,19835051
CG30187,246509
Der-2,42005
CG42240,7354471
Pfk,36060
Art4,41219
CG8026,35941
CG13196,36250
Myo28B1,53515
Pi4KIIalpha,40670
metro,36176
CG5849,42556
sstn,39643
vsg,39137
ab,34560
bip1,38891
CG12091,38177
Tango13,32312
miple1,38047
bic,40830
siz,40327
fd3F,31336
CG12866,36630
CG11384,31061
CG6729,34484
CG7255,39662
scramb2,38362
qtc,33739
CalpB,39165
Ge-1,34541
AP-2alpha,33211
knrl,40285
CG45085,19834931
arm,31151
CG42541,31344
KLHL18,41458
Frq1,32797
CG32576,318095
numb,34263
CG12869,36616
bsh,35007
CG14860,41803
B4,34767
tweek,35026
CG1090,40551
mRRF2,42670
CG5466,42444
CG5004,32698
ZnT63C,38407
jef,36634
mthl10,38057
CG42321,36488
stg1,318064
Cap-H2,41289
CG12983,40319
CG6614,34583
CG5787,34684
pzg,40351
CG2924,31214
mGluR,43838
CG9003,36244
CG42339,32033
lawc,318164
CG11951,43463
wake,42676
exp,33218
ps,44885
Tom40,44978
CG45086,19835902
CG34155,4379867
dpr19,34408
en,36240
Tsp42A,35515
CG6006,41962
CG43897,39153
CG3376,37884
CG42594,8674091
bun,34665
CG18208,42258
sim,41612
bif,32119
DPCoAC,42429
stj,36526
CG33981,3885654
CG43367,38505
jvl,41788
CG8500,41203
CG2278,31751
CG3822,42473
msps,41952
Pdcd4,32337
Edc3,39957
CG6015,42593
ssx,31086
lilli,33496
Est-6,39392
cmpy,40288
Scm,41168
Skeletor,3772559
ppk11,34299
Liprin-gamma,37552
Ktl,42475
Btk29A,34132
Pvf1,32876
CG34135,4379850
CG31191,42477
Usf,31384
Sxl,3772180
Mlp84B,40849
CG3257,37862
msi,43087
mAChR-A,37892
scrt,38469
ND-AGGG,3355155
CG12344,36145
Dl,42313
Tbh,31718
CG14605,40867
CG43291,12797901
PDZ-GEF,33881
CG1695,33046
CG5270,41370
Pvf3,33995
CG42389,34987
CG6024,39325
Nsf2,41694
IRSp53,39258
Jarid2,39103
GstD4,48337
Cdk12,40385
