gene_name,entrez_id
nerfin-1,44786
CG46320,30522409
CG43373,39835
Osi21,34566
CG12531,32986
CG13177,5740215
CG32694,31933
Syt1,33473
scrt,38469
pros,41363
srp,41944
CG7378,32888
CG13048,39789
Osi11,40765
rho,38168
rau,33814
CG30076,246438
Eh,42101
Osi8,40762
CG46315,30522404
Psa,38175
CG46308,30522397
Nep4,42449
futsch,5740544
CG3940,41238
SP2353,36771
CG15024,50172
bru2,250811
CG33090,34835
waw,3771960
CG34136,4379892
CG9849,37647
CG4984,37017
ste24a,36908
opm,32435
CadN,35070
Rbp,44505
RYa-R,43253
para,32619
Adk1,38890
Ndg,36089
CG3638,31071
Osi4,40758
CG34353,5740590
GlcAT-P,39262
PK1-R,41713
Dhit,37037
Kah,38072
TwdlS,43209
VAChT,42795
htl,42160
Loxl2,37485
Ady43A,44750
BuGZ,35004
CG9426,34719
CG12883,43326
CG14164,39167
CG31191,42477
RhoGAP68F,39385
Rcd6,37332
CG13748,35896
CG13116,34288
CG30419,37879
Lerp,43223
neur,41085
CG15563,43695
Rbp9,33498
PIG-V,19835383
peb,31391
CG16995,33413
Su(P),31271
up,32314
CG10265,36676
cpo,45840
Mical,41225
CG11000,40721
CG9663,33541
CG5021,39025
metro,36176
CG6006,41962
Socs44A,35786
Thd1,43796
CG14561,40447
CG11247,40414
Reck,39629
wdp,37548
Mgat2,43563
fne,32245
mei-P26,45775
ttk,48317
CG11802,32145
CG13501,37510
Traf4,33638
SCAR,34519
RecQ5,39594
Ntf-2,33078
sens,45328
Osi15,40771
Coq2,40988
slbo,37889
ebd1,38082
CG10710,39525
AANATL2,33874
CG17167,3354991
btl,39564
Gos28,248102
CG5168,34425
EndoG,36309
CG34376,42638
CG4975,37016
beta-Spec,32746
sty,39833
CG30493,246650
CG11070,33932
CG32687,31980
Seipin,31245
pns,38178
CG34300,5740334
Plod,39265
santa-maria,34024
CG12730,31466
Con,38590
Ptp69D,39443
CG43693,39231
CG2975,33481
temp,45556
CG34126,318872
meso18E,53448
GIIIspla2,31747
CG7702,42242
CG42265,7354434
osp,34850
cyc,34924
Liprin-gamma,37552
CG42684,32754
Ext2,3772101
noc,34847
Trpgamma,34991
CG14879,41982
Nlg3,40912
dnc,31309
CG14516,43444
CG46311,30522400
CG42492,8674066
CG8188,32751
Tsp42Eg,35616
salm,34569
rdgBbeta,37011
brp,35977
Ptp52F,36790
Usf,31384
Galphao,36104
CG10512,40339
CG18208,42258
CG14024,33760
Fs,2768836
pirk,37468
CG43739,14462810
bi,31379
Ttd14,37119
CG4239,32606
PIG-Z,19835548
HLH54F,37027
mib2,35170
CG9636,40967
babos,37557
vsg,39137
Klp68D,39332
sxe2,41954
CG14995,38487
betaTub60D,37888
Ubqn,32977
sls,44013
Arl4,43771
prd,34629
CG6686,34608
CG32333,38142
pon,31394
CG4297,33222
sqd,41666
Bx,42034
eyg,39419
Magi,37403
retn,45976
AGO1,39683
CG7031,42704
CG45085,19834931
Gad1,38484
Tsp96F,43127
PGAP1,31487
CdGAPr,35267
CG13506,37556
lmd,42717
CG15628,33681
CG5039,43100
CG34354,5740528
Cad86C,41302
TM9SF3,38635
gb,43265
SIFaR,42530
CG42831,10178844
JIL-1,39241
CG11779,42298
dve,37546
sca,36411
CG5004,32698
CG43367,38505
Rcd2,40283
luna,2768719
Vha100-1,43442
CG1486,33108
CG13300,38730
Sema1a,34192
Leash,41320
be,35170
Wbp2,39460
CG4025,31177
CG5953,34985
CG4341,33276
wit,44096
Dop2R,33007
CG42700,36330
CG4716,36471
CG4393,42764
RhoGAP100F,43758
Meltrin,3772109
CG4615,31656
CG6841,40064
Arp8,32769
CG9098,33840
CG46319,30522408
CG6340,32482
Gbp3,42709
Pkc98E,43428
CG30015,36147
CG11448,31090
CG9650,31660
babo,35900
Cbl,38961
bol,39049
CG10804,31317
ss,45328
Rdl,39054
nrv3,35408
bchs,33819
mahe,31707
Snoo,5740414
msi,43087
fog,33225
CG10011,43387
sns,44097
Akt1,41957
homer,33944
CG3168,31612
Gbs-76A,40102
eag,32428
NaCP60E,37981
mbc,42817
Abl,45821
CG15630,33676
Rbfox1,39198
CG13398,34169
Kdm2,41090
Syt12,32290
CG34342,5740152
LRP1,35799
CG46316,30522405
CG31808,10178782
Mmp2,35997
CG32547,3346150
Opa1,36578
kek1,34688
sm,37254
side,43300
eIF4G2,42819
drl,35662
RunxB,33051
Ziz,34030
Ac76E,40180
CG7255,39662
CG11168,42981
CG31108,43015
sff,39732
spir,45931
Sb,41958
Ace,41625
step,35425
Pde9,32233
Drep2,35955
CG10663,39421
Dg,36773
hang,32613
CG42541,31344
Kul,43501
CG42788,41817
CG32121,317867
MCU,59223
vig,34885
fred,33613
Bsg,318841
Src64B,48973
CG14200,32939
CG30020,36156
Antp,40835
CG12605,38468
mnb,32771
Lnk,43130
CG2104,40702
ringer,39813
CG43187,12798317
l(3)neo38,41423
CG42404,41842
CG31055,318574
Sbf,41427
CycB3,42971
CG42691,10178943
CG13197,36253
CG14015,33780
zfh2,43795
CG18480,34920
CG16711,39135
NKAIN,37979
nwk,39052
zld,32994
mRpL21,40091
nito,35756
CG5087,39035
CG13531,37627
Vps24,40542
CG5397,33313
Vta1,38204
CG10734,36787
Hipk,38070
Rbm13,31818
CG7457,38865
