"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","20/126","481/12387",7.64864004877089e-08,7.64864004877089e-08,1.52972800975418e-05,"42034/37668/34568/42300/40287/40370/31384/43924/35540/38327/41747/34629/41363/40549/31737/32567/41273/40374/37364/41423",20
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","18/126","483/12387",1.79185513636733e-06,1.79185513636733e-06,0.00015368239283073,"42034/37668/34568/42300/40287/40370/31384/43924/35540/41747/34629/41363/40549/31737/32567/41273/40374/41423",18
"GO:0001221","transcription coregulator binding","5/126","22/12387",2.30523589246095e-06,2.30523589246095e-06,0.00015368239283073,"42034/39521/35540/40549/41273",5
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","15/126","385/12387",8.2544078126631e-06,8.2544078126631e-06,0.000412720390633155,"42034/34568/42300/40287/31384/43924/35540/41747/34629/41363/40549/32567/41273/40374/41423",15
"GO:0000987","cis-regulatory region sequence-specific DNA binding","15/126","393/12387",1.05536411968468e-05,1.05536411968468e-05,0.000422145647873873,"42034/34568/42300/40287/31384/43924/35540/41747/34629/41363/40549/32567/41273/40374/41423",15
"GO:0038023","signaling receptor activity","15/126","405/12387",1.5074798114245e-05,1.5074798114245e-05,0.000430708517549857,"39054/40287/40090/41726/43832/33543/42918/35540/31767/40195/31107/39873/3885573/45307/36368",15
"GO:0060089","molecular transducer activity","15/126","405/12387",1.5074798114245e-05,1.5074798114245e-05,0.000430708517549857,"39054/40287/40090/41726/43832/33543/42918/35540/31767/40195/31107/39873/3885573/45307/36368",15
"GO:0008134","transcription factor binding","9/126","154/12387",2.68034506029479e-05,2.68034506029479e-05,0.000670086265073699,"42034/40287/33218/39521/35540/38070/40549/32567/41273",9
"GO:0098960","postsynaptic neurotransmitter receptor activity","5/126","46/12387",9.87074866383672e-05,9.87074866383672e-05,0.00219349970307483,"39054/41726/42918/31767/31107",5
"GO:0004888","transmembrane signaling receptor activity","12/126","344/12387",0.000197687847332337,0.000197687847332337,0.00384410643735237,"39054/40090/41726/43832/33543/42918/31767/40195/31107/3885573/45307/36368",12
"GO:0001223","transcription coactivator binding","3/126","12/12387",0.000211425854054381,0.000211425854054381,0.00384410643735237,"39521/35540/41273",3
"GO:0003779","actin binding","7/126","127/12387",0.000310288235077102,0.000310288235077102,0.00517147058461837,"36468/31620/31350/38356/38001/32721/34719",7
"GO:0030594","neurotransmitter receptor activity","5/126","60/12387",0.000351079612274754,0.000351079612274754,0.00540122480422699,"39054/41726/42918/31767/31107",5
"GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","4/126","38/12387",0.000576473023153376,0.000576473023153376,0.00768630697537835,"39054/42918/31767/31107",4
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","4/126","38/12387",0.000576473023153376,0.000576473023153376,0.00768630697537835,"39054/42918/31767/31107",4
"GO:0022824","transmitter-gated monoatomic ion channel activity","4/126","45/12387",0.00110153111581846,0.00110153111581846,0.0129591895978642,"39054/42918/31767/31107",4
"GO:0022835","transmitter-gated channel activity","4/126","45/12387",0.00110153111581846,0.00110153111581846,0.0129591895978642,"39054/42918/31767/31107",4
"GO:0005231","excitatory extracellular ligand-gated monoatomic ion channel activity","3/126","21/12387",0.00119544777693026,0.00119544777693026,0.0132827530770029,"39054/42918/31767",3
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity","4/126","48/12387",0.00140518762779062,0.00140518762779062,0.0147914487135854,"39054/42918/31767/31107",4
"GO:0051015","actin filament binding","5/126","85/12387",0.00172302203351227,0.00172302203351227,0.0172302203351227,"36468/31620/31350/38001/32721",5
"GO:0140297","DNA-binding transcription factor binding","5/126","91/12387",0.0023276149986473,0.0023276149986473,0.022167761891879,"40287/33218/35540/38070/32567",5
"GO:0008092","cytoskeletal protein binding","10/126","341/12387",0.00250373886872579,0.00250373886872579,0.0227612624429618,"36468/31620/31350/38356/35293/38001/32721/32760/31321/34719",10
"GO:0140677","molecular function activator activity","9/126","297/12387",0.00330031559847528,0.00330031559847528,0.0286983965084807,"32797/42313/43832/39150/32898/38327/42560/36295/38204",9
"GO:0005509","calcium ion binding","7/126","203/12387",0.00467935211892933,0.00467935211892933,0.0389946009910778,"32797/42313/36773/33204/32721/42481/36746",7
"GO:0031267","small GTPase binding","5/126","109/12387",0.00506040037970904,0.00506040037970904,0.0404832030376723,"37864/38337/32898/42150/31321",5
"GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity","2/126","11/12387",0.00531681537430711,0.00531681537430711,0.0405202758549166,"42918/31767",2
"GO:0050839","cell adhesion molecule binding","4/126","70/12387",0.00557852409066014,0.00557852409066014,0.0405202758549166,"43197/36773/39873/50003",4
