"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04391","Environmental Information Processing","Signal transduction","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","5/41","57/3549",0.000431105703288572,0.000431105703288572,0.0106433405645778,"41273/33218/32351/32083/41783",5
"dme04392","Environmental Information Processing","Signal transduction","dme04392","Hippo signaling pathway - multiple species - Drosophila melanogaster (fruit fly)","3/41","16/3549",0.000722226681167778,0.000722226681167778,0.0106433405645778,"33218/32351/41783",3
"dme04310","Environmental Information Processing","Signal transduction","dme04310","Wnt signaling pathway - Drosophila melanogaster (fruit fly)","6/41","110/3549",0.00143561040467359,0.00143561040467359,0.0141042425722317,"45307/32078/32624/33204/38890/40090",6
"dme04330","Environmental Information Processing","Signal transduction","dme04330","Notch signaling pathway - Drosophila melanogaster (fruit fly)","3/41","25/3549",0.00275961127543591,0.00275961127543591,0.0203339778190014,"40314/32078/42313",3
"dme04080","Environmental Information Processing","Signaling molecules and interaction","dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","4/41","67/3549",0.00695122872196787,0.00695122872196787,0.0409756640452843,"36368/41726/31107/39054",4
"dme04150","Environmental Information Processing","Signal transduction","dme04150","mTOR signaling pathway - Drosophila melanogaster (fruit fly)","4/41","100/3549",0.0270583447997054,0.0270583447997054,0.132918184981009,"45307/32078/39150/40090",4
"dme03460","Genetic Information Processing","Replication and repair","dme03460","Fanconi anemia pathway - Drosophila melanogaster (fruit fly)","2/41","26/3549",0.0355302553360022,0.0355302553360022,0.149601075098957,"40965/43462",2
"dme04512","Environmental Information Processing","Signaling molecules and interaction","dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","1/41","11/3549",0.120145984640437,0.120145984640437,0.39061608265113,"36773",1
"dme00770","Metabolism","Metabolism of cofactors and vitamins","dme00770","Pantothenate and CoA biosynthesis - Drosophila melanogaster (fruit fly)","1/41","14/3549",0.150389811187247,0.150389811187247,0.39061608265113,"42295",1
"dme04214","Cellular Processes","Cell growth and death","dme04214","Apoptosis - fly - Drosophila melanogaster (fruit fly)","2/41","63/3549",0.164052044412671,0.164052044412671,0.39061608265113,"44936/35540",2
"dme04148",NA,NA,"dme04148","Efferocytosis - Drosophila melanogaster (fruit fly)","2/41","64/3549",0.168161563205863,0.168161563205863,0.39061608265113,"32567/37877",2
"dme04142","Cellular Processes","Transport and catabolism","dme04142","Lysosome - Drosophila melanogaster (fruit fly)","3/41","124/3549",0.171017683812404,0.171017683812404,0.39061608265113,"37877/31557/31155",3
"dme04068","Environmental Information Processing","Signal transduction","dme04068","FoxO signaling pathway - Drosophila melanogaster (fruit fly)","2/41","65/3549",0.172289593597909,0.172289593597909,0.39061608265113,"39150/38890",2
"dme00250","Metabolism","Amino acid metabolism","dme00250","Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)","1/41","29/3549",0.287031799334715,0.287031799334715,0.53645469609741,"42051",1
"dme03410","Genetic Information Processing","Replication and repair","dme03410","Base excision repair - Drosophila melanogaster (fruit fly)","1/41","30/3549",0.295336258490192,0.295336258490192,0.53645469609741,"37560",1
"dme04013","Environmental Information Processing","Signal transduction","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","2/41","94/3549",0.296349804625411,0.296349804625411,0.53645469609741,"40549/41363",2
"dme04745","Organismal Systems","Sensory system","dme04745","Phototransduction - fly - Drosophila melanogaster (fruit fly)","1/41","33/3549",0.319687436446889,0.319687436446889,0.53645469609741,"33204",1
"dme03030","Genetic Information Processing","Replication and repair","dme03030","DNA replication - Drosophila melanogaster (fruit fly)","1/41","34/3549",0.327620546545204,0.327620546545204,0.53645469609741,"37560",1
"dme00514","Metabolism","Glycan biosynthesis and metabolism","dme00514","Other types of O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","1/41","38/3549",0.35846018011566,0.35846018011566,0.550005839880975,"40314",1
"dme04814","Cellular Processes","Cell motility","dme04814","Motor proteins - Drosophila melanogaster (fruit fly)","2/41","112/3549",0.373218248490661,0.373218248490661,0.550005839880975,"35293/38001",2
"dme00562","Metabolism","Carbohydrate metabolism","dme00562","Inositol phosphate metabolism - Drosophila melanogaster (fruit fly)","1/41","45/3549",0.409141612580102,0.409141612580102,0.557555834797864,"33204",1
"dme03420","Genetic Information Processing","Replication and repair","dme03420","Nucleotide excision repair - Drosophila melanogaster (fruit fly)","1/41","51/3549",0.44945637916051,0.44945637916051,0.557555834797864,"37560",1
"dme00010","Metabolism","Carbohydrate metabolism","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","1/41","55/3549",0.474828449394442,0.474828449394442,0.557555834797864,"34779",1
"dme04213","Organismal Systems","Aging","dme04213","Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)","1/41","55/3549",0.474828449394442,0.474828449394442,0.557555834797864,"39150",1
"dme01240","Metabolism","Global and overview maps","dme01240","Biosynthesis of cofactors - Drosophila melanogaster (fruit fly)","2/41","138/3549",0.478091972617479,0.478091972617479,0.557555834797864,"42051/42295",2
"dme01232","Metabolism","Global and overview maps","dme01232","Nucleotide metabolism - Drosophila melanogaster (fruit fly)","1/41","60/3549",0.504943452624606,0.504943452624606,0.557555834797864,"42051",1
"dme04070","Environmental Information Processing","Signal transduction","dme04070","Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)","1/41","61/3549",0.510760970091615,0.510760970091615,0.557555834797864,"33204",1
"dme03083","Genetic Information Processing","Chromosome","dme03083","Polycomb repressive complex - Drosophila melanogaster (fruit fly)","1/41","67/3549",0.544290900087915,0.544290900087915,0.572937789566227,"36431",1
"dme03015","Genetic Information Processing","Translation","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","1/41","80/3549",0.609430541627051,0.609430541627051,0.619384942488473,"39919",1
"dme04146","Cellular Processes","Transport and catabolism","dme04146","Peroxisome - Drosophila melanogaster (fruit fly)","1/41","91/3549",0.657376296470411,0.657376296470411,0.628872048291386,"42751",1
"dme00230","Metabolism","Nucleotide metabolism","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","1/41","92/3549",0.661438636506476,0.661438636506476,0.628872048291386,"42051",1
