gene_name,entrez_id
exd,32567
otp,37364
CG7443,40992
RhoGAP18B,32898
Dh44-R2,36368
Corp,31764
CG2113,38356
CG6425,43216
CG12912,36075
CG42806,10178814
CG3457,31196
hth,41273
ex,33218
Mp20,36468
tamo,37864
sqz,42300
CG9008,34779
CG9426,34719
CG14964,38384
hkb,40549
CG11000,40721
CG3277,33543
Rbp6,39919
BTBD9,32000
kn,40287
fz,45307
CG2120,31737
CG4766,31533
Dab,39873
Octbeta3R,3885573
croc,40374
Pax,35215
Dph5,42663
Nf-YC,37560
Tgi,39521
tio,35293
CG9876,37668
jim,43924
pr,34629
l(3)neo38,41423
CG46321,30522410
fng,40314
Unr,38963
CG43759,32889
CG1273,38522
CG46313,30522402
crq,33219
dsh,32078
CG4511,41305
CG32333,38142
Lsd-2,32437
salr,34568
Fsn,36460
lva,31350
Myt1,38649
jub,32351
mab-21,44127
mei-P26,45775
CG3408,39107
beat-IIIb,35031
CG14253,43243
Fim,32721
List,37157
CG15923,42443
CG11406,37877
Pp2B-14D,32624
Frq1,32797
dlg1,32083
CG8188,32751
Fili,5740472
DNApol-iota,40965
NK7.1,41747
CG10353,32148
CG12502,38102
CG6420,43218
NaCP60E,37981
nw,3772015
bol,39049
CG12017,38404
CG4629,33284
dlp,39150
NetA,32398
Plc21C,33204
Ptip,39552
Ubx,42034
Rbcn-3A,31557
Psc,36431
CG30158,50149
AdSL,42051
kibra,41783
sNPF-R,40195
Dop1R1,41726
dpr9,2768670
CG13293,38695
pod1,31620
MEP-1,38327
Dg,36773
sff,39732
Ppcs,42295
Fife,38337
CG14071,34507
CG43778,34738
Kdm4B,318918
twz,37456
Dl,42313
Usp1,43462
Cyp313b1,41019
plum,43197
CG43658,32729
pros,41363
CG4297,33222
CG42613,42269
CG16791,42531
SRPK,36706
Socs16D,32760
nAChRalpha1,42918
nmo,38890
Nmdar2,31107
CG13827,42751
mub,40436
Amun,32123
fz2,40090
Rbcn-3B,31155
CG8100,39565
fmt,38714
nAChRalpha3,31767
beat-IIIc,35037
unk,42738
Usf,31384
Rdl,39054
wech,44653
Calx,42481
CG42541,31344
jeb,36295
Tsp42En,35624
Rim,42150
CG3919,39582
CG45263,50003
CG8405,36772
Aef1,40370
Eip93F,44936
side,43300
2mit,41616
zip,38001
CG32698,31915
Rbp9,33498
Hipk,38070
sli,36746
Syp,42460
EcR,35540
Vta1,38204
PlexA,43832
CG30391,37423
Frl,42560
Gas8,31321
CG5791,50055
CG7778,34147
ATPsyndelta,42291
