"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","187/2553","481/12387",5.98651080471359e-21,5.98651080471359e-21,2.93023949914928e-18,"32723/35332/47285/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/38884/35430/4379817/43819/35813/41768/38638/45328/34000/37655/30982/36571/43725/36239/31913/43099/39935/44540/42034/31678/2768685/39419/34982/31802/42930/41069/47082/41182/37654/43825/43334/41160/35147/31162/40287/43660/40414/33823/40835/38012/37364/43769/40830/39349/35764/32613/33059/32114/38752/31353/31738/35398/32321/48785/42110/33606/44849/48317/43867/41848/37889/41266/42162/3772082/38912/35132/43782/38468/36032/40826/43924/30975/33602/38469/2768719/39821/44786/38072/37978/34277/47767/31429/32567/39682/34908/31991/33607/39567/5740414/37027/41363/40817/42413/33229/39569/38338/33770/41944/37379/35540/44669/34543/32943/41396/42952/40833/40940/39962/34903/33239/31379/40164/43833/43664/31430/31691/40398/34629/35227/30981/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/40370/33957/36424/43795/36171/42428/31384/35974/35770/34881/31391/37336/38451/31336/38062/36156/37546/42717/39441/38518/32536/43580/42544/38995/35509/31737/43174/47763/37038/34669/43570/45816/39091/36986/42767/45588/39697/34673/31070/31523/36073/33051",187
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","181/2553","483/12387",2.4777096572696e-18,2.4777096572696e-18,6.06386837173875e-16,"32723/35332/47285/41747/37973/35662/41273/43767/34569/40549/31722/43152/44505/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/34000/37655/30982/36571/43725/36239/31913/43099/39935/44540/42034/31678/2768685/39419/34982/31802/42930/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/32321/48785/42110/33606/44849/48317/43867/37889/41266/42162/3772082/32579/38912/35132/43782/38468/36032/43924/30975/33602/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/37027/41363/40817/42413/38490/39569/33770/41944/37379/35540/44669/34543/32943/41396/40833/40940/34903/35404/33239/31379/43833/43664/31430/41217/40398/34629/35227/30981/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/40370/33957/36424/43795/36171/42428/31384/35770/34881/31391/37336/38451/31336/38062/37546/42717/39441/38518/32536/43580/42544/38995/35509/31737/43174/31773/47763/37038/34669/43570/45816/41355/32106/36986/42767/35066/45588/31027/39697/34673/31070/36073/33051",181
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","150/2553","385/12387",4.29385328010572e-17,4.29385328010572e-17,6.96775933469077e-15,"35332/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/36571/43725/36239/31913/43099/39935/42034/31678/2768685/39419/34982/31802/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/32321/33606/44849/48317/43867/37889/41266/42162/3772082/38912/35132/43782/38468/36032/43924/30975/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/41363/40817/42413/38490/39569/33770/41944/35540/44669/34543/41396/40833/40940/34903/35404/31379/43833/43664/31430/41217/34629/35227/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/36424/43795/36171/42428/31384/35770/34881/31391/37336/31336/37546/42717/39441/32536/42544/38995/47763/37038/34669/45816/41355/32106/36986/42767/35066/45588/39697/34673/31070/36073/33051",150
"GO:0000987","cis-regulatory region sequence-specific DNA binding","152/2553","393/12387",5.69408289716665e-17,5.69408289716665e-17,6.96775933469077e-15,"35332/41747/37973/35662/41273/43767/34569/40549/43152/44275/41423/32543/39228/4379817/43819/35813/31660/41768/38638/45328/36571/43725/36239/31913/43099/39935/42034/31678/2768685/39419/34982/31802/41069/42638/41182/32517/37654/43825/41160/35147/31162/40287/43660/40414/33823/40835/43769/40830/39349/35764/33059/32114/38752/31353/31738/35398/41265/32321/33606/44849/48317/43867/37889/41266/42162/3772082/38912/35132/43782/38468/36032/43924/30975/38469/2768719/44786/38072/37978/34277/37785/47767/31429/32567/39682/34908/33607/39567/5740414/41363/40817/42413/38490/39569/33770/41944/35540/44669/34543/41396/40833/40940/34903/35404/31379/43833/43664/31430/31691/41217/34629/35227/40990/43650/34483/41491/38766/32994/35480/33183/33010/35800/36424/43795/36171/42428/31384/35770/34881/31391/37336/31336/37546/42717/39441/32536/42544/38995/47763/37038/34669/45816/41355/32106/36986/42767/35066/45588/39697/34673/31070/36073/33051",152
"GO:0042802","identical protein binding","65/2553","148/12387",1.07639858939981e-10,1.07639858939981e-10,1.05373756646508e-08,"37386/32582/44355/43767/37345/41168/31760/39527/39018/41825/36619/37655/34665/42064/40616/35007/42934/32606/31802/35425/41182/36118/36284/33473/41704/39349/48785/48317/41848/36251/41625/33972/33824/37978/39936/42092/43728/35540/31110/49228/40833/44522/40940/33239/44703/42062/41151/41737/36363/41491/37247/41602/3772109/42438/36508/39441/32183/2769008/36283/33814/35070/2768716/37038/37552/38788",65
"GO:0042803","protein homodimerization activity","56/2553","123/12387",3.96710365820342e-10,3.96710365820342e-10,3.23632140537647e-08,"37386/32582/44355/43767/37345/31760/39527/41825/37655/34665/42064/40616/35007/31802/35425/41182/36118/36284/33473/41704/39349/48785/48317/41848/36251/41625/33972/33824/37978/39936/42092/35540/31110/49228/40833/44522/40940/33239/44703/42062/41151/41737/36363/41491/37247/41602/42438/36508/39441/32183/36283/33814/35070/2768716/37038/37552",56
"GO:0099106","ion channel regulator activity","20/2553","27/12387",3.51394554367138e-09,3.51394554367138e-09,2.45711981625142e-07,"40964/31955/38502/37132/39958/31211/14462605/33923/35814/2768718/32682/5740497/38504/39453/40391/31344/8674114/33028/43809/37040",20
"GO:0016247","channel regulator activity","22/2553","32/12387",5.54414999065603e-09,5.54414999065603e-09,3.3921444021777e-07,"40964/31955/38502/37132/39958/31211/5740676/14462605/33923/35814/2768718/32682/5740497/38504/39453/40391/318064/31344/8674114/33028/43809/37040",22
"GO:0008092","cytoskeletal protein binding","113/2553","341/12387",2.95494049039184e-08,2.95494049039184e-08,1.60707289828328e-06,"35680/38978/37386/41225/42871/33156/44100/32746/3346238/35130/45683/43824/39735/41425/31359/34850/34170/33501/37230/41852/2768680/38385/38438/37643/41656/32119/39958/31104/43015/35007/32049/31554/42889/37205/35596/35170/47729/35532/3771968/36072/39332/36311/35698/33622/35042/36740/37410/41848/44013/42379/40583/40961/35084/32979/34719/32478/35340/31620/38898/41353/41144/40319/31538/38490/39148/47594/40517/31110/43739/38059/35758/39813/42978/45931/32314/43737/48481/36683/31597/35051/32363/36876/40715/5740544/34073/36668/43901/42846/31816/39153/38306/36578/31729/42986/42665/37994/33444/40608/37749/35058/2768716/34519/38988/34882/31596/32760/40589/38491/41392/43310/40928/36329/36127",113
"GO:0050839","cell adhesion molecule binding","35/2553","70/12387",4.10977346785519e-08,4.10977346785519e-08,2.01162596058175e-06,"38978/33613/33619/318841/32275/41062/43654/44885/36284/31364/43197/44129/36773/41718/40620/32979/46015/43875/31290/39873/40517/50003/34830/36683/252671/36521/31816/35368/2769008/36283/35070/31151/34882/44097/38788",35
