"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04391","Environmental Information Processing","Signal transduction","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","30/807","57/3549",7.08059945479723e-07,7.08059945479723e-07,7.60232783567703e-05,"43651/33156/44100/36054/41273/33613/33619/32813/35430/32083/34924/35526/39013/32979/35340/47594/33218/44448/3346149/37089/41783/32752/37247/32849/31521/32536/47877/42734/34009/44861",30
"dme04214","Cellular Processes","Cell growth and death","dme04214","Apoptosis - fly - Drosophila melanogaster (fruit fly)","30/807","63/3549",1.03159415051357e-05,1.03159415051357e-05,0.000553803175538862,"43651/41260/36054/44505/40016/53577/41140/36251/3772082/33638/37455/47767/44936/42845/31581/33231/33782/35540/39962/3355109/34995/40009/37247/3354888/40653/32256/32849/31746/31011/37729",30
"dme04330","Environmental Information Processing","Signal transduction","dme04330","Notch signaling pathway - Drosophila melanogaster (fruit fly)","14/807","25/3549",0.00030900551260823,0.00030900551260823,0.0110591446617682,"43856/31589/35764/43558/42964/31293/36555/33467/41602/42313/34881/44205/40314/31840",14
"dme04013","Environmental Information Processing","Signal transduction","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","35/807","94/3549",0.000916878535366678,0.000916878535366678,0.0246109501598424,"36054/40549/33212/39158/45973/33753/34790/34132/41140/41020/48317/45278/3772082/36032/33477/37455/37978/31667/43319/41363/38321/39885/34096/31379/40009/3354888/32256/32849/31391/39833/31746/48973/34688/37461/43146",35
"dme04320","Organismal Systems","Development and regeneration","dme04320","Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)","14/807","28/3549",0.00138947619623469,0.00138947619623469,0.0298371730559871,"41666/44505/39018/34790/41140/42752/34648/37455/38168/31293/45931/3354888/39833/34521",14
"dme04745","Organismal Systems","Sensory system","dme04745","Phototransduction - fly - Drosophila melanogaster (fruit fly)","15/807","33/3549",0.00313815279680393,0.00313815279680393,0.056156418469123,"45234/40664/38993/35526/31376/34012/246577/48311/36384/43118/40224/31521/43828/36329/34991",15
"dme04148",NA,NA,"dme04148","Efferocytosis - Drosophila melanogaster (fruit fly)","24/807","64/3549",0.00510251022076603,0.00510251022076603,0.0669304554342806,"38109/3355130/49297/32947/32080/37233/317987/40081/34450/43558/33418/45278/42817/37877/32567/43319/43501/326219/35799/39160/3354888/36488/43580/43828",24
"dme00230","Metabolism","Nucleotide metabolism","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","32/807","92/3549",0.00520147424772166,0.00520147424772166,0.0669304554342806,"39396/32406/38285/39132/43493/8674026/41825/43682/41894/34689/32352/36968/40333/35923/44750/31194/38315/42973/44010/53432/39479/35107/40153/31309/43739/33495/32233/40180/39213/34553/41760/35419",32
"dme04144","Cellular Processes","Transport and catabolism","dme04144","Endocytosis - Drosophila melanogaster (fruit fly)","41/807","125/3549",0.00561034699963823,0.00561034699963823,0.0669304554342806,"33295/39735/53554/44920/36999/39564/39958/34803/38846/35425/32777/38204/48581/36311/31738/33418/42509/42265/37455/43277/47408/38898/38961/47594/42160/41551/32850/43164/32981/32752/3885565/37218/43223/40542/33211/42665/37536/31746/33444/48973/35900",41
"dme04711","Organismal Systems","Environmental adaptation","dme04711","Circadian rhythm - fly - Drosophila melanogaster (fruit fly)","8/807","15/3549",0.00949637996287497,0.00949637996287497,0.101961132232973,"31363/39167/31248/31251/44669/41883/45588/33571",8
"dme04150","Environmental Information Processing","Signal transduction","dme04150","mTOR signaling pathway - Drosophila melanogaster (fruit fly)","33/807","100/3549",0.0111460012928099,0.0111460012928099,0.108793505441781,"43265/45012/38017/38654/36826/39150/34790/42341/44437/40090/41140/33203/35042/39151/38923/31248/33139/38454/41550/48311/34997/31543/31235/41957/3354888/40679/45668/64880/35762/40201/34009/326255/39858",33
"dme00534","Metabolism","Glycan biosynthesis and metabolism","dme00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster (fruit fly)","7/807","13/3549",0.0143092163388108,0.0143092163388108,0.128029830399886,"35569/38736/32918/3772101/36614/37198/38288",7
"dme04140","Cellular Processes","Transport and catabolism","dme04140","Autophagy - animal - Drosophila melanogaster (fruit fly)","37/807","118/3549",0.0177843750675173,0.0177843750675173,0.146883097723625,"41260/40664/3355130/38017/38654/33819/31803/41074/39150/32947/33330/41140/317987/33203/45268/39151/34420/42095/40998/117294/38456/50253/31564/31543/37218/42096/41957/3354888/39522/40653/64880/31746/43580/37141/40201/32191/34735",37
"dme04070","Environmental Information Processing","Signal transduction","dme04070","Phosphatidylinositol signaling system - Drosophila melanogaster (fruit fly)","21/807","61/3549",0.0241207577275119,0.0241207577275119,0.174066492883996,"31826/40664/42836/33845/40670/33137/45374/31376/33203/246577/34300/39329/48311/43118/39741/3885565/39404/37517/31157/37033/36329",21
"dme04145","Cellular Processes","Transport and catabolism","dme04145","Phagosome - Drosophila melanogaster (fruit fly)","27/807","83/3549",0.0247959260076323,0.0247959260076323,0.174066492883996,"45012/39130/36826/42341/32057/35526/44885/43442/38580/37888/33418/41550/38521/43319/42216/31342/34997/44643/40848/44307/31235/31521/40679/45668/32620/37033/46080",27
"dme04068","Environmental Information Processing","Signal transduction","dme04068","FoxO signaling pathway - Drosophila melanogaster (fruit fly)","22/807","65/3549",0.0259393205082033,0.0259393205082033,0.174066492883996,"38017/39150/43856/34790/38890/40384/43725/41140/39319/33203/37131/31738/39151/37455/42971/42515/33010/41957/3354888/33944/64880/35900",22
"dme04213","Organismal Systems","Aging","dme04213","Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)","19/807","55/3549",0.0299708410384689,0.0299708410384689,0.189289522348225,"32406/38285/38654/44920/39150/41140/34689/33203/48581/40333/39151/53432/42515/31543/33569/40180/41957/64880/35419",19
"dme04080","Environmental Information Processing","Signaling molecules and interaction","dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","22/807","67/3549",0.0364166343765971,0.0364166343765971,0.217222029614789,"34878/43583/41726/33942/41713/2768688/42530/43484/37191/33248/36475/33231/40955/36217/32860/37892/43838/32864/41017/33007/41638/39054",22
"dme04392","Environmental Information Processing","Signal transduction","dme04392","Hippo signaling pathway - multiple species - Drosophila melanogaster (fruit fly)","7/807","16/3549",0.0503558484775471,0.0503558484775471,0.284559365357884,"43651/32979/33218/41783/37247/32536/42734",7
"dme01250","Metabolism","Global and overview maps","dme01250","Biosynthesis of nucleotide sugars - Drosophila melanogaster (fruit fly)","11/807","30/3549",0.0590245273040431,0.0590245273040431,0.316868515000652,"3354921/31500/43504/38911/35923/33903/44010/39031/40599/39434/43373",11
"dme00564","Metabolism","Lipid metabolism","dme00564","Glycerophospholipid metabolism - Drosophila melanogaster (fruit fly)","20/807","63/3549",0.0620403935250555,0.0620403935250555,0.317199004489006,"31826/42249/37852/42836/326259/41625/34776/42254/33824/35387/40093/32585/32230/39160/31747/40471/34716/35417/40468/59176",20
"dme04310","Environmental Information Processing","Signal transduction","dme04310","Wnt signaling pathway - Drosophila melanogaster (fruit fly)","32/807","110/3549",0.0696786425835744,0.0696786425835744,0.335715057352574,"42871/42504/44355/32132/33212/43670/43856/38890/40090/43725/46456/43769/31376/31738/31248/39013/35922/8674098/43319/48311/39885/39751/53439/31597/32624/48448/41602/34009/35207/31151/43828/31829",32
"dme00512","Metabolism","Glycan biosynthesis and metabolism","dme00512","Mucin type O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","9/807","24/3549",0.0737104120142601,0.0737104120142601,0.335715057352574,"246627/36717/33481/32836/261610/326151/38346/39714/33485",9
"dme00770","Metabolism","Metabolism of cofactors and vitamins","dme00770","Pantothenate and CoA biosynthesis - Drosophila melanogaster (fruit fly)","6/807","14/3549",0.0756395226719904,0.0756395226719904,0.335715057352574,"34256/42295/32297/33742/40675/46234",6
"dme04141","Genetic Information Processing","Folding, sorting and degradation","dme04141","Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)","38/807","135/3549",0.079486126831,0.079486126831,0.335715057352574,"41646/49953/32977/35056/39557/34137/44920/32124/44437/32073/34333/48581/35527/43091/40055/32532/44679/36025/31215/317834/39768/44054/2768916/40459/47767/42872/44643/38603/38096/35480/40653/32256/32902/326234/42005/33409/32620/46080",38
"dme04512","Environmental Information Processing","Signaling molecules and interaction","dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","5/807","11/3549",0.0812957050647899,0.0812957050647899,0.335715057352574,"44885/36773/33727/38723/31612",5
"dme04137","Cellular Processes","Transport and catabolism","dme04137","Mitophagy - animal - Drosophila melanogaster (fruit fly)","24/807","81/3549",0.0891163930970054,0.0891163930970054,0.354380978397448,"37144/32132/36999/34368/41140/32796/33418/34420/42509/47767/38456/42845/31581/39885/31564/46038/31519/48448/44978/40653/36578/41152/43580/48973",24
"dme00562","Metabolism","Carbohydrate metabolism","dme00562","Inositol phosphate metabolism - Drosophila melanogaster (fruit fly)","14/807","45/3549",0.122790774783378,0.122790774783378,0.470851843154305,"31544/33845/40670/45374/31376/34300/39329/32629/39741/3885565/39404/37517/31157/37033",14
"dme00514","Metabolism","Glycan biosynthesis and metabolism","dme00514","Other types of O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","12/807","38/3549",0.134057172046142,0.134057172046142,0.496327823909491,"246627/36717/33481/32836/261610/326151/36564/38346/39262/39714/40314/33485",12
"dme00030","Metabolism","Carbohydrate metabolism","dme00030","Pentose phosphate pathway - Drosophila melanogaster (fruit fly)","8/807","24/3549",0.158390370331389,0.158390370331389,0.566870799080761,"39132/35692/35923/44010/31185/33431/43183/40875",8
"dme00520","Metabolism","Carbohydrate metabolism","dme00520","Amino sugar and nucleotide sugar metabolism - Drosophila melanogaster (fruit fly)","14/807","48/3549",0.183236940359754,0.183236940359754,0.634640676288453,"3354921/33026/31500/43504/38911/35923/33903/44010/39031/40599/39434/38223/31935/43373",14
"dme00250","Metabolism","Amino acid metabolism","dme00250","Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)","9/807","29/3549",0.1949763286956,0.1949763286956,0.654196892333922,"3354921/36128/38484/36396/32640/33172/43373/2768965/40434",9
"dme00561","Metabolism","Lipid metabolism","dme00561","Glycerolipid metabolism - Drosophila melanogaster (fruit fly)","12/807","42/3549",0.230358419369269,0.230358419369269,0.749491507995706,"31826/34256/37852/42836/36282/39305/32230/40471/33431/38221/326168/40468",12
"dme04814","Cellular Processes","Cell motility","dme04814","Motor proteins - Drosophila melanogaster (fruit fly)","29/807","112/3549",0.240507010833972,0.240507010833972,0.750836987334833,"35680/37374/33501/39130/41852/35195/2768680/32057/34873/35526/35007/32049/31554/42889/38580/33319/39332/34012/37888/39537/43379/32314/40848/36876/34073/35709/31521/34882/43310",29
"dme04215","Cellular Processes","Cell growth and death","dme04215","Apoptosis - multiple species - Drosophila melanogaster (fruit fly)","7/807","23/3549",0.254572689653262,0.254572689653262,0.750836987334833,"41260/36251/34995/40009/32849/31011/37729",7
"dme04350","Environmental Information Processing","Signal transduction","dme04350","TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)","13/807","47/3549",0.256802324064873,0.256802324064873,0.750836987334833,"38654/44096/33753/43856/36999/43725/32225/31738/41772/5740414/3354888/31027/35900",13
"dme00510","Metabolism","Glycan biosynthesis and metabolism","dme00510","N-Glycan biosynthesis - Drosophila melanogaster (fruit fly)","11/807","39/3549",0.258744314753131,0.258744314753131,0.750836987334833,"49953/34137/8674033/32073/34409/38374/2768916/3885575/43563/39608/318981",11
"dme04120","Genetic Information Processing","Folding, sorting and degradation","dme04120","Ubiquitin mediated proteolysis - Drosophila melanogaster (fruit fly)","27/807","108/3549",0.31976059788319,0.31976059788319,0.894736842098188,"3885654/41260/42504/45922/318886/39035/34896/36999/33932/39958/32751/36129/34420/38591/44054/38456/44118/38961/39885/31564/42062/44496/5740853/35420/31746/43434/41611",27
"dme00563","Metabolism","Glycan biosynthesis and metabolism","dme00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Drosophila melanogaster (fruit fly)","7/807","25/3549",0.334998817602423,0.334998817602423,0.894736842098188,"40139/31517/8674033/19835548/19835383/31772/31487",7
"dme00565","Metabolism","Lipid metabolism","dme00565","Ether lipid metabolism - Drosophila melanogaster (fruit fly)","7/807","25/3549",0.334998817602423,0.334998817602423,0.894736842098188,"326259/32529/35387/39160/31747/40471/40468",7
"dme02010","Environmental Information Processing","Membrane transport","dme02010","ABC transporters - Drosophila melanogaster (fruit fly)","10/807","38/3549",0.357676855916073,0.357676855916073,0.894736842098188,"43772/42382/37293/33103/34148/42362/38193/33541/34140/33540",10
"dme00010","Metabolism","Carbohydrate metabolism","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","14/807","55/3549",0.364131520331391,0.364131520331391,0.894736842098188,"42621/45880/31544/34256/33351/37131/35923/42626/44010/36510/33459/41311/43183/39555",14
"dme00600","Metabolism","Lipid metabolism","dme00600","Sphingolipid metabolism - Drosophila melanogaster (fruit fly)","8/807","31/3549",0.408642214805794,0.408642214805794,0.894736842098188,"37516/34835/326219/33836/38396/40640/40471/40468",8
"dme03250","Genetic Information Processing","Information processing in viruses","dme03250","Viral life cycle - HIV-1 - Drosophila melanogaster (fruit fly)","8/807","33/3549",0.485502436169851,0.485502436169851,0.894736842098188,"47220/43576/43856/32630/39666/32777/44451/35051",8
"dme04624","Organismal Systems","Immune system","dme04624","Toll and Imd signaling pathway - Drosophila melanogaster (fruit fly)","19/807","83/3549",0.530223199383738,0.530223199383738,0.894736842098188,"42504/35956/39062/37100/34969/50209/35861/38419/3772082/49802/33477/37978/32648/45908/3771920/43222/37468/32256/31011",19
"dme04130","Genetic Information Processing","Folding, sorting and degradation","dme04130","SNARE interactions in vesicular transport - Drosophila melanogaster (fruit fly)","5/807","21/3549",0.537983930458963,0.537983930458963,0.894736842098188,"38196/38085/42854/248102/40373",5
"dme03060","Genetic Information Processing","Folding, sorting and degradation","dme03060","Protein export - Drosophila melanogaster (fruit fly)","7/807","30/3549",0.540188052633848,0.540188052633848,0.894736842098188,"39028/32095/38844/42885/34333/40815/46080",7
"dme00310","Metabolism","Amino acid metabolism","dme00310","Lysine degradation - Drosophila melanogaster (fruit fly)","8/807","35/3549",0.559466462839666,0.559466462839666,0.894736842098188,"34064/34256/40793/39265/35309/41737/30971/41743",8
"dme03083","Genetic Information Processing","Chromosome","dme03083","Polycomb repressive complex - Drosophila melanogaster (fruit fly)","15/807","67/3549",0.575775613462994,0.575775613462994,0.894736842098188,"31181/32132/41168/43819/35555/43856/37024/41090/40358/42696/39103/36431/43788/44889/37601",15
"dme04341","Environmental Information Processing","Signal transduction","dme04341","Hedgehog signaling pathway - fly - Drosophila melanogaster (fruit fly)","9/807","40/3549",0.576388899965104,0.576388899965104,0.894736842098188,"42504/43767/34896/36999/41704/33972/31248/44274/42737",9
"dme00592","Metabolism","Lipid metabolism","dme00592","alpha-Linolenic acid metabolism - Drosophila melanogaster (fruit fly)","3/807","13/3549",0.595496110591553,0.595496110591553,0.894736842098188,"33898/39160/31747",3
"dme00900","Metabolism","Metabolism of terpenoids and polyketides","dme00900","Terpenoid backbone biosynthesis - Drosophila melanogaster (fruit fly)","6/807","27/3549",0.600510973003825,0.600510973003825,0.894736842098188,"39478/33682/31708/36908/44002/3355165",6
"dme00760","Metabolism","Metabolism of cofactors and vitamins","dme00760","Nicotinate and nicotinamide metabolism - Drosophila melanogaster (fruit fly)","4/807","18/3549",0.612167825376624,0.612167825376624,0.894736842098188,"36968/38315/43433/31480",4
"dme00910","Metabolism","Energy metabolism","dme00910","Nitrogen metabolism - Drosophila melanogaster (fruit fly)","4/807","18/3549",0.612167825376624,0.612167825376624,0.894736842098188,"39390/41238/41070/33172",4
"dme00500","Metabolism","Carbohydrate metabolism","dme00500","Starch and sucrose metabolism - Drosophila melanogaster (fruit fly)","7/807","32/3549",0.615312517047746,0.615312517047746,0.894736842098188,"37419/42220/35923/47764/44010/34597/34017",7
"dme01232","Metabolism","Global and overview maps","dme01232","Nucleotide metabolism - Drosophila melanogaster (fruit fly)","13/807","60/3549",0.629433943050922,0.629433943050922,0.894736842098188,"39396/33510/41894/43240/32352/36968/44750/38315/42894/39479/43739/33495/39213",13
