gene_name,entrez_id
CG17343,35180
Vha36-3,31235
CG14414,32394
CG12914,36078
CG13088,34180
ab,34560
kek4,34718
hkb,40549
IM2,49802
CG7987,41768
CG4603,38603
inaF-B,8674114
h,38995
inaF-A,5740676
rib,44855
apt,35509
CG9098,33840
ac,30981
bin,38766
cwo,44669
CG31918,326172
inaF-C,5740497
ihog,33972
Cdc7,31598
CG15887,41631
ETHR,42523
Trpgamma,34991
EndoU,41931
Usp20-33,36580
ifc,33836
ytr,47457
Vps13,35693
wap,31187
sqd,41666
Golgin245,37702
bru2,250811
Notum,39751
Pgm,44010
zld,32994
CG33203,43414
CG31038,43535
CG12772,31803
sfl,38736
CLIP-190,35042
CG11966,41069
Dh44,41170
HLH54F,37027
CG9514,32418
rgn,32165
stet,38169
CG12290,43182
CG15894,31574
Atf3,43867
chinmo,33343
CG46320,30522409
Hipk,38070
CG18265,39947
BuGZ,35004
ps,44885
eyg,39419
CG14669,40652
hdc,43604
Kul,43501
CG4096,31490
CG42795,41252
CG42797,31905
S6k,38654
Gbs-76A,40102
CG7510,39965
CG31176,42554
CG30497,246653
plum,43197
Imp,32009
nmo,38890
CG44085,34732
Eip93F,44936
Spt20,39522
yata,43508
REPTOR,42930
hep,32256
nAChRalpha6,34304
jing,35555
CG34401,50356
CG15465,31434
Tob,32574
ImpL3,45880
MRP,35007
waw,3771960
CG43373,39835
EcR,35540
CG43102,42137
para,32619
eEF1alpha1,36271
CG11398,31070
