gene_name,entrez_id
CG42813,43276
trp,39015
RpL37b,37669
CG33509,3346225
mol,34872
CG13884,38064
TwdlZ,318092
CG30096,246454
CG33474,2768725
CG7968,34802
CG6762,32768
chic,64880
CG13488,37496
CG4017,34296
CG13713,59233
CG30158,50149
cpx,64877
CG14664,12798232
CG43675,14462445
SCCRO4,40231
dpr4,3346160
CG16884,34812
CG31463,40978
CG9304,37500
Oli,35066
CG33056,326246
CG1603,35683
CG17207,2768665
CG32548,32826
Cyp9b1,35634
GABA-B-R3,33248
CG17625,42678
cnir,33520
CG11342,38538
CG4607,31653
CG1999,31671
Adar,31130
CG31633,33931
Trp1,34333
CG32793,31280
CG13502,37518
PIG-T,31772
HnRNP-K,43862
DNApol-alpha73,43278
CG13386,34165
TM4SF,37786
CG45050,41114
CG18269,33785
CG18473,41116
CG31068,318578
Mkp,42986
CG31804,318951
CG31807,318953
CG4465,42374
CG13288,38665
spn-F,43700
CG3955,36438
CG6614,34583
CG9194,38133
CG10920,31688
CG16886,34809
CG18528,42906
Cyp12a5,42293
gammaTub23C,33501
Cks30A,34250
CG8401,36770
trv,43362
CG32647,326226
CG14229,32980
kay,3772082
ND-13B,39214
CG5316,42322
CG44325,31831
Hsp70Ab,44920
Hsp70Aa,48581
CG30273,246520
Btk29A,34132
Tsp66E,39017
CG15578,50379
IscU,41059
veil,36968
mod,49228
CG13226,36184
CG10795,37443
CG33966,3885642
CG10195,35228
CG42820,34161
Cp190,41848
CG7296,34469
frc,39943
CG4806,37948
CG15155,35087
Snp,37511
CG7950,43579
CG15096,37170
CG31324,43177
CG32811,318222
CREG,42092
Cyp6d4,42682
Acer,34189
kuk,42063
CG32944,40560
CG43208,12797895
CG1213,53436
CG34345,5740402
Tsp29Fa,34211
Gga,31902
CG45491,19835590
CG45489,19836030
CG45490,19835900
ERR,38912
Cyp6a14,35835
IFT57,33579
CG15865,32641
CG8549,38749
how,42596
l(1)G0469,32371
CG31661,33330
CG9515,3771965
CG8910,36896
PGRP-LD,3771920
CG4452,39069
CG6683,38970
Dhc98D,43379
cyc,34924
Cyp12d1-p,246648
CG1578,32135
Pex7,38994
CG13741,35919
CG33298,2768929
CG45487,19834759
CG45492,19835659
CG45486,19836213
CG43784,19835787
CG45493,19835131
CG45494,19836139
CG45488,19834833
CG13135,34345
Dd,33107
CG31849,318981
CG13896,38089
CG2691,32320
chinmo,33343
eag,32428
LKRSDH,34064
CG17186,42363
dnc,31309
CHOp24,31382
CG15279,34863
Dbp80,3354919
Cyp4e1,44632
CG17028,39741
mdlc,42397
CG6083,39305
CG32642,318137
snama,37857
CG5773,37053
CG34454,5740130
CRMP,40675
CG7059,42626
mst,37247
CG12929,35987
CG9257,35375
CG42855,10178866
Awh,38451
loj,38698
Obp59a,37605
CG18748,59144
Syp,42460
CG30114,246465
CG31357,326135
Usf,31384
Sos,34790
Nf-YA,39091
CG7946,43576
CG31272,326130
CG14562,40439
obst-H,39681
CG31077,318583
RpS14a,47218
Pi3K21B,33203
CG33687,3772322
ssp2,39540
skl,40016
CG14721,41417
CG32278,38382
CG13887,38096
CG32695,31918
pug,41279
CG34112,4379842
CG5776,34680
IP3K1,34300
CG11760,41036
CG10778,31708
CG45087,19834964
CG34394,33552
Sec61beta,46080
Spec2,40685
Nxf3,317878
tap,39935
CG5697,42483
