gene_name,entrez_id
nerfin-1,44786
insb,36967
SP555,53471
CG43739,14462810
CG14042,4379885
Pph13,33239
Mgat2,43563
CG15212,50315
CG7785,42158
Hey,35764
fd3F,31336
CG17180,38068
sug,36424
HPS1,36656
CG13255,50109
boss,43146
CG11617,33183
PIG-F,40139
CG34007,3885610
gcm,34277
sc,30982
ru,44856
Toll-9,40245
obst-E,33806
CG2061,32042
onecut,45816
CG15814,32765
Vha68-1,45668
CG5027,39775
CG9083,37982
CG8298,36282
CG6428,31351
Mtl,43319
ktub,37400
twe,34954
Mur18B,32912
Fer1,46415
Oli,35066
Ntmt,36022
bsh,35007
esg,34903
BTBD9,32000
CG15097,37172
CG9626,40979
CG32813,31089
CG45065,19835504
CG4000,42451
Ac78C,40333
CG10561,35189
CG9581,33017
CG6752,41826
bcd,40830
Atg7,37141
ewg,30975
CG7745,36210
CG8481,41195
CG18265,39947
neo,43523
Uxs,38911
x16,31376
Cpr78Cc,40355
CG3940,41238
T48,43235
inv,36239
CG13344,36541
INPP5E,39404
gogo,40225
ex,33218
Tie,38559
rempA,33230
CanA1,43670
CG10738,39516
CaMKI,43792
geko,50263
scrt,38469
CG13124,34310
CG11034,33810
Rgk1,14462605
CG15096,37170
Awh,38451
dsb,38252
CG43340,35698
Osi7,40761
CG12024,38243
Sur-8,42093
lab,40817
Saf-B,42958
Hip14,39747
CAP,49297
CG1172,40647
ect,44135
Sas-6,43555
Kah,38072
tap,39935
CG13731,39938
Zasp66,38988
CG2217,43607
exex,38884
rho,38168
CG16779,41134
Pkcdelta,32191
cwo,44669
Synj,37517
fng,40314
Pvf3,33995
ste14,39478
Pkc98E,43428
CG6175,39271
Gyc76C,8674026
Samuel,34530
CG4676,36465
neur,41085
CG1504,33028
Gbs-76A,40102
cv-c,41749
CG32532,32943
CG33978,3885646
CG13917,38186
CG6282,38985
CG43078,38981
CG42637,40153
if,38012
robo1,37603
RyR,49090
CG2225,35421
dtn,31555
Dhit,37037
Usp8,42509
nes,40093
Nrk,36445
ITP,37921
ps,44885
CG45064,19836116
Cht6,31935
CG13004,32673
isopeptidase-T-3,37261
Ncoa6,33761
Ptx1,43664
RunxA,4379817
CG14440,31610
PTP-ER,37461
bru3,39527
Abl,45821
CG11760,41036
CG2865,31217
Pde6,41760
sky,35359
tamo,37864
Trpm,36694
CG13300,38730
nvy,37886
Pka-R2,36041
Pvf2,33994
CG11221,33948
Appl,31002
CG13398,34169
Rbp9,33498
TMEM216,41035
Arfip,41353
ss,45328
CG8272,35875
axed,38741
mxt,33686
l(3)neo38,NA
Tollo,44497
ChAT,42249
Kdm2,41090
CG8500,41203
CG5890,43126
tnc,35473
Dab,39873
CG31064,43277
elav,31000
Hr38,35332
Rfx,41266
CG2519,40666
DIP-alpha,31322
Calx,42481
Sp1,31913
G9a,30971
Mp,38769
fz2,40090
CG12054,43694
CG46306,30522395
pod1,31620
CG1402,33761
CG14505,37098
CG32333,38142
CG12768,40513
Fife,38337
nAChRalpha3,31767
CG14408,32407
hang,32613
CG10019,33600
GlcT-1,37516
upd1,32813
fus,44095
msi,43087
NetB,32400
DCP2,31011
CG16791,42531
mbf1,39842
hep,32256
milt,45683
tinc,42148
Elk,37047
gol,38006
haf,33339
pHCl-1,39730
B4,34767
Rbp6,39919
CG34383,5740131
Lap1,36670
brat,35197
CG32767,31430
Cht2,38223
Dys,36773
P5CDh1,40434
