"","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","54/544","481/12387",1.6599745100525e-10,1.6599745100525e-10,3.96087981820432e-08,"35509/33051/39440/35974/43660/34569/37379/30981/31665/44540/35480/47080/43782/31743/43924/40826/42162/33607/40835/34568/38468/43769/38063/37546/31070/41768/34592/38995/44669/326139/40287/40833/32757/39419/31430/35540/32994/40549/38766/43867/42930/34483/35332/41363/32817/37027/39441/43767/43812/31802/38065/36171/43819/41069",54
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","54/544","483/12387",1.93960609654335e-10,1.93960609654335e-10,3.96087981820432e-08,"35509/33051/39440/43660/34569/37379/30981/31665/44540/35480/47080/43782/31743/43924/42162/33607/40835/34568/38468/43769/38063/37546/31070/41768/34592/38995/44669/326139/40287/40833/39419/31430/35540/32994/40549/38766/43867/42930/34483/32579/35332/41363/32817/37027/39441/43767/41217/33861/43812/31802/38065/36171/43819/41069",54
"GO:0030594","neurotransmitter receptor activity","16/544","60/12387",3.82362035666859e-09,3.82362035666859e-09,5.20549016978039e-07,"39730/41426/33007/41726/42920/34826/39984/318623/40665/42476/41017/44484/42350/40575/37892/43182",16
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","44/544","385/12387",5.22246197656968e-09,5.22246197656968e-09,5.33240854449746e-07,"33051/39440/43660/34569/35480/47080/43782/31743/43924/42162/33607/40835/34568/38468/43769/38063/37546/31070/41768/34592/38995/44669/40287/40833/39419/31430/35540/32994/40549/38766/43867/34483/35332/41363/32817/39441/43767/41217/33861/43812/31802/36171/43819/41069",44
"GO:0000987","cis-regulatory region sequence-specific DNA binding","44/544","393/12387",9.80586537267241e-09,9.80586537267241e-09,8.00984371494084e-07,"33051/39440/43660/34569/35480/47080/43782/31743/43924/42162/33607/40835/34568/38468/43769/38063/37546/31070/41768/34592/38995/44669/40287/40833/39419/31430/35540/32994/40549/38766/43867/34483/35332/41363/32817/39441/43767/41217/33861/43812/31802/36171/43819/41069",44
"GO:0015075","monoatomic ion transmembrane transporter activity","43/544","397/12387",3.85341449839047e-08,3.85341449839047e-08,2.6230260094307e-06,"39730/42245/41426/32249/39147/37981/36694/34921/37614/32780/48971/33028/35111/33599/7354472/42920/34826/39984/40495/32619/318623/32468/40665/43787/42476/34557/44484/45248/7354434/42350/49297/35449/44307/31955/34681/36747/5740840/59223/34112/37047/34991/40679/31235",43
"GO:0008324","monoatomic cation transmembrane transporter activity","36/544","303/12387",5.02995474102362e-08,5.02995474102362e-08,2.9347705857401e-06,"42245/32249/37981/36694/34921/37614/32780/48971/33028/35111/33599/7354472/42920/34826/39984/40495/32619/318623/32468/43787/42476/34557/45248/7354434/49297/44307/31955/34681/36747/5740840/59223/34112/37047/34991/40679/31235",36
"GO:0008227","G protein-coupled amine receptor activity","9/544","21/12387",1.04216075924766e-07,1.04216075924766e-07,5.32050492879069e-06,"33007/42652/41726/41017/40575/42258/3885573/37892/42523",9
"GO:0015318","inorganic molecular entity transmembrane transporter activity","37/544","332/12387",1.72139651696114e-07,1.72139651696114e-07,7.81171752726224e-06,"39730/42245/41426/32249/39147/37981/36694/34921/32780/48971/33028/35111/33599/7354472/39984/40495/32619/318623/40665/43787/37427/42476/34557/45248/7354434/42350/49297/44307/31955/34681/36747/5740840/59223/37047/34991/40679/31235",37
"GO:0005261","monoatomic cation channel activity","24/544","168/12387",3.14423195862554e-07,3.14423195862554e-07,1.28417052625969e-05,"37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/32619/318623/32468/42476/34557/45248/7354434/31955/5740840/59223/34112/37047/34991",24
"GO:0098960","postsynaptic neurotransmitter receptor activity","12/544","46/12387",4.51733003708564e-07,4.51733003708564e-07,1.54596322312669e-05,"39730/41426/33007/41726/42920/34826/318623/42476/44484/42350/37892/43182",12
"GO:0015267","channel activity","32/544","277/12387",5.34228413853412e-07,5.34228413853412e-07,1.54596322312669e-05,"39730/33062/41426/37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/31646/32619/318623/32468/40665/42476/34557/44484/45248/7354434/42350/35449/31955/5740840/59223/34112/37047/34991",32
"GO:0022803","passive transmembrane transporter activity","32/544","277/12387",5.34228413853412e-07,5.34228413853412e-07,1.54596322312669e-05,"39730/33062/41426/37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/31646/32619/318623/32468/40665/42476/34557/44484/45248/7354434/42350/35449/31955/5740840/59223/34112/37047/34991",32
"GO:1901702","salt transmembrane transporter activity","31/544","264/12387",5.6318685109232e-07,5.6318685109232e-07,1.54596322312669e-05,"39730/42245/41426/37981/36630/42795/36694/34921/32780/48971/33028/35111/33599/7354472/31271/39984/40495/32619/318623/43787/42476/34557/45248/42350/49297/31955/36747/5740840/59223/37047/34991",31
"GO:0022836","gated channel activity","26/544","199/12387",6.05635077101178e-07,6.05635077101178e-07,1.54596322312669e-05,"39730/41426/37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/318623/32468/40665/42476/34557/44484/42350/35449/31955/5740840/34112/37047/34991",26
"GO:0022839","monoatomic ion gated channel activity","26/544","199/12387",6.05635077101178e-07,6.05635077101178e-07,1.54596322312669e-05,"39730/41426/37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/318623/32468/40665/42476/34557/44484/42350/35449/31955/5740840/34112/37047/34991",26
"GO:0005216","monoatomic ion channel activity","30/544","259/12387",1.14747953086961e-06,1.14747953086961e-06,2.75679292865268e-05,"39730/41426/37981/36694/34921/37614/32780/33028/33599/7354472/42920/34826/39984/32619/318623/32468/40665/42476/34557/44484/45248/7354434/42350/35449/31955/5740840/59223/34112/37047/34991",30
