"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00534","Metabolism","Glycan biosynthesis and metabolism","dme00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Drosophila melanogaster (fruit fly)","5/157","13/3549",0.000153379456493234,0.000153379456493234,0.0122703565194587,"38288/251900/36614/37161/38736",5
"dme04214","Cellular Processes","Cell growth and death","dme04214","Apoptosis - fly - Drosophila melanogaster (fruit fly)","10/157","63/3549",0.000362642496912413,0.000362642496912413,0.0145056998764965,"37729/41140/36914/32849/44936/32256/35540/36615/39173/31581",10
"dme04310","Environmental Information Processing","Signal transduction","dme04310","Wnt signaling pathway - Drosophila melanogaster (fruit fly)","13/157","110/3549",0.000957388185836885,0.000957388185836885,0.0255303516223169,"43565/48311/53557/43319/37909/35922/43769/38890/39751/35742/43162/41873/44843",13
"dme04080","Environmental Information Processing","Signaling molecules and interaction","dme04080","Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)","8/157","67/3549",0.0086614004241627,0.0086614004241627,0.173228008483254,"33007/41726/39984/40665/41017/44484/40575/37892",8
"dme04391","Environmental Information Processing","Signal transduction","dme04391","Hippo signaling pathway - fly - Drosophila melanogaster (fruit fly)","7/157","57/3549",0.0119018953009485,0.0119018953009485,0.184274331117094,"34573/35340/33619/32849/44448/32813/47877",7
"dme04745","Organismal Systems","Sensory system","dme04745","Phototransduction - fly - Drosophila melanogaster (fruit fly)","5/157","33/3549",0.013820574833782,0.013820574833782,0.184274331117094,"40224/48311/32343/34991/45234",5
"dme04215","Cellular Processes","Cell growth and death","dme04215","Apoptosis - multiple species - Drosophila melanogaster (fruit fly)","4/157","23/3549",0.0169032870568894,0.0169032870568894,0.193180423507308,"37729/36914/32849/39173",4
"dme04013","Environmental Information Processing","Signal transduction","dme04013","MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)","9/157","94/3549",0.0218750921970369,0.0218750921970369,0.218750921970369,"41140/43319/32849/32256/40549/43162/33432/41363/34132",9
"dme04320","Organismal Systems","Development and regeneration","dme04320","Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)","4/157","28/3549",0.0329590662579873,0.0329590662579873,0.292969477848776,"41140/31358/41666/42752",4
"dme00250","Metabolism","Amino acid metabolism","dme00250","Alanine, aspartate and glutamate metabolism - Drosophila melanogaster (fruit fly)","4/157","29/3549",0.0369571833574592,0.0369571833574592,0.295657466859674,"36128/42051/43373/38484",4
"dme00600","Metabolism","Lipid metabolism","dme00600","Sphingolipid metabolism - Drosophila melanogaster (fruit fly)","4/157","31/3549",0.0457562811060561,0.0457562811060561,0.33277295349859,"34910/37516/250736/33836",4
"dme03015","Genetic Information Processing","Translation","dme03015","mRNA surveillance pathway - Drosophila melanogaster (fruit fly)","7/157","80/3549",0.0617448560989422,0.0617448560989422,0.341882757240857,"317878/3354919/43087/37769/39919/47877/44250",7
"dme00310","Metabolism","Amino acid metabolism","dme00310","Lysine degradation - Drosophila melanogaster (fruit fly)","4/157","35/3549",0.0665483297688454,0.0665483297688454,0.341882757240857,"35118/40793/43244/35309",4
"dme03013","Genetic Information Processing","Translation","dme03013","Nucleocytoplasmic transport - Drosophila melanogaster (fruit fly)","8/157","99/3549",0.0696302709247754,0.0696302709247754,0.341882757240857,"35336/34527/317878/34549/3354919/36271/37769/42171",8
"dme04145","Cellular Processes","Transport and catabolism","dme04145","Phagosome - Drosophila melanogaster (fruit fly)","7/157","83/3549",0.0724082667624459,0.0724082667624459,0.341882757240857,"40848/32249/43319/44885/44307/40679/31235",7
"dme04150","Environmental Information Processing","Signal transduction","dme04150","mTOR signaling pathway - Drosophila melanogaster (fruit fly)","8/157","100/3549",0.0729665620252458,0.0729665620252458,0.341882757240857,"32249/48311/41140/38654/35042/31220/40679/31235",8
"dme00450","Metabolism","Metabolism of other amino acids","dme00450","Selenocompound metabolism - Drosophila melanogaster (fruit fly)","2/157","11/3549",0.0823048494126404,0.0823048494126404,0.341882757240857,"41733/37177",2
"dme04512","Environmental Information Processing","Signaling molecules and interaction","dme04512","ECM-receptor interaction - Drosophila melanogaster (fruit fly)","2/157","11/3549",0.0823048494126404,0.0823048494126404,0.341882757240857,"44885/36773",2
"dme00512","Metabolism","Glycan biosynthesis and metabolism","dme00512","Mucin type O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","3/157","24/3549",0.0871328454517252,0.0871328454517252,0.341882757240857,"246627/326151/5740612",3
"dme00010","Metabolism","Carbohydrate metabolism","dme00010","Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)","5/157","55/3549",0.0938833575345703,0.0938833575345703,0.341882757240857,"45880/40348/43244/39555/44010",5
"dme04213","Organismal Systems","Aging","dme04213","Longevity regulating pathway - multiple species - Drosophila melanogaster (fruit fly)","5/157","55/3549",0.0938833575345703,0.0938833575345703,0.341882757240857,"32406/41140/38654/38285/31220",5
"dme00410","Metabolism","Metabolism of other amino acids","dme00410","beta-Alanine metabolism - Drosophila melanogaster (fruit fly)","3/157","25/3549",0.0959392960455998,0.0959392960455998,0.341882757240857,"43244/37446/38484",3
"dme04341","Environmental Information Processing","Signal transduction","dme04341","Hedgehog signaling pathway - fly - Drosophila melanogaster (fruit fly)","4/157","40/3549",0.0982912927067464,0.0982912927067464,0.341882757240857,"33196/35742/33432/43767",4
"dme00640","Metabolism","Carbohydrate metabolism","dme00640","Propanoate metabolism - Drosophila melanogaster (fruit fly)","3/157","27/3549",0.114576472955812,0.114576472955812,0.381921576519375,"45880/40348/37446",3
"dme00770","Metabolism","Metabolism of cofactors and vitamins","dme00770","Pantothenate and CoA biosynthesis - Drosophila melanogaster (fruit fly)","2/157","14/3549",0.125029303993062,0.125029303993062,0.400093772777799,"42295/43244",2
"dme04350","Environmental Information Processing","Signal transduction","dme04350","TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)","4/157","47/3549",0.152243979466258,0.152243979466258,0.468443013742332,"38654/35742/33432/41772",4
"dme03250","Genetic Information Processing","Information processing in viruses","dme03250","Viral life cycle - HIV-1 - Drosophila melanogaster (fruit fly)","3/157","33/3549",0.177343871546253,0.177343871546253,0.525463323100008,"32604/47220/31681",3
"dme00230","Metabolism","Nucleotide metabolism","dme00230","Purine metabolism - Drosophila melanogaster (fruit fly)","6/157","92/3549",0.220393852199126,0.220393852199126,0.62969672056893,"32233/32406/41825/42051/38285/44010",6
"dme00514","Metabolism","Glycan biosynthesis and metabolism","dme00514","Other types of O-glycan biosynthesis - Drosophila melanogaster (fruit fly)","3/157","38/3549",0.235278966921322,0.235278966921322,0.649045425989854,"246627/326151/5740612",3
"dme00561","Metabolism","Lipid metabolism","dme00561","Glycerolipid metabolism - Drosophila melanogaster (fruit fly)","3/157","42/3549",0.283718773293468,0.283718773293468,0.694989895691602,"31826/40672/43244",3
"dme04137","Cellular Processes","Transport and catabolism","dme04137","Mitophagy - animal - Drosophila melanogaster (fruit fly)","5/157","81/3549",0.287458536574562,0.287458536574562,0.694989895691602,"41140/37909/36578/31581/40556",5
"dme00564","Metabolism","Lipid metabolism","dme00564","Glycerophospholipid metabolism - Drosophila melanogaster (fruit fly)","4/157","63/3549",0.303512477476022,0.303512477476022,0.694989895691602,"31826/40672/41625/42249",4
"dme00563","Metabolism","Glycan biosynthesis and metabolism","dme00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Drosophila melanogaster (fruit fly)","2/157","25/3549",0.304058079365076,0.304058079365076,0.694989895691602,"31163/34116",2
"dme01040","Metabolism","Lipid metabolism","dme01040","Biosynthesis of unsaturated fatty acids - Drosophila melanogaster (fruit fly)","2/157","25/3549",0.304058079365076,0.304058079365076,0.694989895691602,"39860/37446",2
"dme04330","Environmental Information Processing","Signal transduction","dme04330","Notch signaling pathway - Drosophila melanogaster (fruit fly)","2/157","25/3549",0.304058079365076,0.304058079365076,0.694989895691602,"43162/31840",2
"dme04148",NA,NA,"dme04148","Efferocytosis - Drosophila melanogaster (fruit fly)","4/157","64/3549",0.31366514064708,0.31366514064708,0.697033645882401,"43319/49297/32817/43501",4
"dme04068","Environmental Information Processing","Signal transduction","dme04068","FoxO signaling pathway - Drosophila melanogaster (fruit fly)","4/157","65/3549",0.323849467461775,0.323849467461775,0.700215064782217,"41140/40384/38890/31220",4
"dme00620","Metabolism","Carbohydrate metabolism","dme00620","Pyruvate metabolism - Drosophila melanogaster (fruit fly)","3/157","49/3549",0.369822482251276,0.369822482251276,0.778573646844791,"45880/40348/43244",3
