gene_name,entrez_id
VAChT,42795
Hs3st-A,37161
CG42788,41817
CG15385,33396
CG7708,42245
spab,35901
CG1504,33028
CG14762,35768
para,32619
Gad1,38484
CG45049,42691
CG8500,41203
CG43732,14462486
CG42339,32033
CG46318,30522407
kn,40287
shakB,33062
CG32225,317926
ChAT,42249
Inx2,31646
CG13743,35911
Dop2R,33007
Ccn,39972
Nrx-1,42646
Gfrl,3346162
E(spl)m6-BFM,43159
DIP-eta,33793
beat-IIIa,35035
CG13465,50282
Vang,35922
CG12194,33685
trv,43362
stumps,41770
kek6,43729
Syngr,36533
CG42458,2768945
CG12795,33561
Hr38,35332
Tsf2,39435
CG3342,31586
CG32017,317823
mamo,32353
CG34404,41873
cpo,45840
Scr,40833
brp,35977
sca,36411
retn,45976
CG8516,41206
wgn,32849
CG31128,318601
mirr,39441
CG7058,32873
RunxB,33051
CG30463,246627
dao,36128
CG4168,34889
CG2061,32042
Ace,41625
Hydr1,35930
CG34383,5740131
bdg,36747
CG34355,42820
GlcAT-S,34282
ey,43812
dpr14,31702
CG10959,31743
dpr6,50296
jef,36634
mus81,31044
CG30343,246551
ttv,36614
papi,33401
RASSF8,43096
CG11147,33803
CG11638,31050
CG32485,38363
Sema1b,37007
Gyc88E,41825
Trpm,36694
CG9896,37652
Elk,37047
CG14082,40088
spict,34681
lawc,318164
1-Sep,33114
flr,39505
DIP-zeta,34231
mv,38259
Piezo,34112
oc,31802
CG10512,40339
CG10338,35124
tok,42944
beat-VII,43213
Dop1R1,41726
LamC,36615
CG31751,35118
PGAP5,34116
CG3356,37876
CG30114,246465
Ppcs,42295
Ssl,37909
CG32037,326183
Fs,2768836
salr,34568
HisCl1,41426
CG31051,261634
CG11448,31090
CG6650,39555
oxt,38288
tub,40848
CG12531,32986
GalT1,36279
CG1513,36028
Ctl2,43440
CG42750,35090
sigmar,37751
CG8481,41195
CG10413,35111
CG31221,42325
CG12299,34483
vg,36421
mei-P26,45775
CG2218,43611
heix,34961
esn,53557
Sh,32780
Ddr,3346209
pros,41363
pcx,31204
wkd,41390
slp2,33607
Drak,32097
pgant5,326151
Sulf1,53437
sr,42162
pb,40826
Hk,31955
CG42260,37614
Gli,43767
tinc,42148
CrebB,32817
CG42673,39111
svr,30998
Trpgamma,34991
Rab3-GEF,32442
qvr,2768718
NaCP60E,37981
CG11317,43676
CG1607,43707
CG4467,42747
Fur1,47220
CG33143,37583
CG5466,42444
trh,38065
CG10376,35126
NetB,32400
Mmp1,37949
Grd,39984
Trim9,34453
CG14408,32407
unc-4,32757
CG46306,30522395
GluRIB,44484
Shawl,5740840
CG12605,38468
CG14989,38485
MFS16,37427
CG14186,40196
CG34113,4379844
5-HT2A,40575
brk,31665
CG15923,42443
CG43795,5740629
orb,42752
AdSL,42051
CG7606,8673956
ergic53,44679
sdk,31017
Vha26,40679
CG32052,326184
CG7191,34058
CG4497,34001
CG34126,318872
shn,36171
CG12024,38243
Ggamma30A,45234
CG3631,41797
dia,35340
Mtl,43319
CG14853,41771
jus,43453
acj6,47080
Kank,36668
disco,32579
CG11791,43000
CG10543,37379
sced,35564
CG13300,38730
caup,39440
CG32647,326226
bwa,250736
step,35425
Syn1,41247
CG6282,38985
Rbp6,39919
CG17985,35702
Nak,48971
jim,43924
CG43778,34738
Eip78C,40345
Pde9,32233
CG8641,38771
oys,36045
scrib,44448
pes,34087
CG6329,36529
CG8611,32725
CG31191,42477
CG6006,41962
sm,37254
CG16779,41134
Ktl,42475
CG43902,31948
CG32137,39537
crol,34592
CG4587,34921
CG5758,35083
CG6051,43271
dpp,33432
Octbeta1R,42652
Nep3,33005
CG42322,42455
Nckx30C,45248
dve,37546
CG13054,39780
pHCl-1,39730
Syt12,32290
CG7990,32909
Rim,42150
Rbfox1,39198
GluClalpha,42350
rgn,32165
tant,44785
msi,43087
nkd,44843
salm,34569
MtnC,42416
Cngl,32468
CG3679,32591
CG42784,326165
CG32767,31430
5-HT2B,41017
CG34451,5740612
Dys,36773
Shaw,33599
nAChRbeta2,42920
gukh,53563
CG15803,42206
CG13784,34003
ckn,36673
SPoCk,40495
GlcT-1,37516
nAChRalpha5,34826
CG12768,40513
RSG7,32674
lmgB,44128
CarT,35334
pxb,41899
BtbVII,38376
Ca-beta,34557
mub,40436
CG46308,30522397
CG32264,38438
CG34041,3885583
fmt,38714
Fs(2)Ket,35336
beat-IIIc,35037
rut,32406
CG7031,42704
Mbs,49070
rin,47998
CG5550,36883
Cals,43824
CG42265,7354434
Dgk,31826
ct,44540
Socs36E,35085
CG12071,43660
CG3625,33198
heph,48571
Tob,32574
ed,33619
CG5282,40256
roq,39818
hdly,42478
put,41772
Camta,35974
CG13685,38869
Glut4EF,41217
Dlg5,34573
inaE,32343
pre-mod(mdg4)-AB,19836240
CG13559,37720
Slob,34038
mim,2768716
Adar,31130
PIG-K,31163
Blos1,246439
CG43736,3771905
Drep4,34734
CG32432,40310
CG34449,31887
be,35170
AcCoAS,40348
JIL-1,39241
pre-mod(mdg4)-C,19835476
Acox57D-d,37446
Btk29A,34132
CG1233,38063
tou,36241
CG8539,38842
SKIP,31840
CG32195,317907
jet,33705
CG33307,2768914
l(1)G0193,31712
Nup160,34549
S-Lap3,326187
CG8547,36586
