gene_name,entrez_id
l(2)09851,46662
pre-mod(mdg4)-T,10178861
l(2)35Cc,34893
l(2)01289,46017
l(1)G0004,33033
l(2)37Cc,49168
Su(var)205,34119
l(3)L1231,41776
l(1)G0320,326234
l(3)05822,47260
E(spl)m6-BFM,43159
fs(1)h,31722
l(2)k09913,37661
pre-mod(mdg4)-Y,10178885
pre-mod(mdg4)-H,26067059
l(3)72Dp,317887
l(1)G0196,33137
Su(var)3-9,41483
l(1)G0469,32371
l(2)k09848,35536
Glycogenin,37419
2-Sep,42438
pre-mod(mdg4)-AB,19836240
fs(1)N,45973
l(3)72Dn,39774
pre-mod(mdg4)-C,19835476
E(spl)mbeta-HLH,43152
l(3)neo38,41423
l(1)G0193,31712
pre-mod(mdg4)-B,19835051
pre-mod(mdg4)-N,26067062
1-Sep,33114
l(2)gd1,34543
1-Dec,31691
l(3)07882,46201
l(3)04053,46158
