"";"seqnames";"start";"end";"width";"strand";"peakNames"
"1";"2L";"884984";"885254";"271";"*";"gr_m_luteus__4724"
"2";"2L";"1187497";"1187778";"282";"*";"gr_m_luteus__4754"
"3";"2L";"1208371";"1208740";"370";"*";"gr_m_luteus__4755"
"4";"2L";"1312059";"1312337";"279";"*";"gr_m_luteus__1519"
"5";"2L";"1733570";"1733878";"309";"*";"gr_m_luteus__4773"
"6";"2L";"1743273";"1743889";"617";"*";"gr_m_luteus__12925"
"7";"2L";"1989469";"1989864";"396";"*";"gr_m_luteus__12116"
"8";"2L";"2168809";"2169333";"525";"*";"gr_m_luteus__32"
"9";"2L";"2373497";"2373874";"378";"*";"gr_m_luteus__4812"
"10";"2L";"2802390";"2802757";"368";"*";"gr_m_luteus__967"
"11";"2L";"2955632";"2956112";"481";"*";"gr_m_luteus__1272"
"12";"2L";"3150091";"3150404";"314";"*";"gr_m_luteus__1571"
"13";"2L";"4328387";"4328691";"305";"*";"gr_m_luteus__3435"
"14";"2L";"4341008";"4341316";"309";"*";"gr_m_luteus__12178"
"15";"2L";"4851918";"4852237";"320";"*";"gr_m_luteus__10177"
"16";"2L";"5024619";"5024954";"336";"*";"gr_m_luteus__2196"
"17";"2L";"5301500";"5301781";"282";"*";"gr_m_luteus__14145"
"18";"2L";"6478453";"6478716";"264";"*";"gr_m_luteus__5005"
"19";"2L";"6865451";"6865712";"262";"*";"gr_m_luteus__5023"
"20";"2L";"7420881";"7421272";"392";"*";"gr_m_luteus__12885"
"21";"2L";"8343745";"8344121";"377";"*";"gr_m_luteus__13973"
"22";"2L";"8705086";"8705357";"272";"*";"gr_m_luteus__5139"
"23";"2L";"9168121";"9168775";"655";"*";"gr_m_luteus__9508"
"24";"2L";"9186612";"9186924";"313";"*";"gr_m_luteus__9506"
"25";"2L";"9333394";"9333709";"316";"*";"gr_m_luteus__3079"
"26";"2L";"9530754";"9531069";"316";"*";"gr_m_luteus__5158"
"27";"2L";"9707238";"9707565";"328";"*";"gr_m_luteus__10186"
"28";"2L";"10526035";"10526296";"262";"*";"gr_m_luteus__5245"
"29";"2L";"10606418";"10606706";"289";"*";"gr_m_luteus__10998"
"30";"2L";"10788340";"10788684";"345";"*";"gr_m_luteus__10223"
"31";"2L";"11824423";"11824840";"418";"*";"gr_m_luteus__267"
"32";"2L";"12025463";"12025732";"270";"*";"gr_m_luteus__13389"
"33";"2L";"12705523";"12705829";"307";"*";"gr_m_luteus__5316"
"34";"2L";"13041380";"13041678";"299";"*";"gr_m_luteus__12124"
"35";"2L";"13042495";"13042762";"268";"*";"gr_m_luteus__12120"
"36";"2L";"13057406";"13057704";"299";"*";"gr_m_luteus__12123"
"37";"2L";"13065249";"13065614";"366";"*";"gr_m_luteus__12125"
