mirna;ensembl_gene_id;interaction_score;mre_type;mre_score;cds_utr;ensembl_transcript_id;transcript_start;transcript_end;chromosome;start;end;strand
Dme-Mir-306_3p*;FBgn0262473;0.449228433686328;6mer;0.0073750664604413;UTR3;FBtr0085059;749;774;chr3R;26841897;26841922;+
Dme-Mir-184_5p*;FBgn0026760;0.702942085042158;8mer;0.0247835960707256;UTR3;FBtr0346423;620;637;chr2L;13439885;13439902;+
Dme-Mir-190_5p;FBgn0003882;0.529645509294628;6mer;0.0126461522815451;UTR3;FBtr0302338;130;149;chr3R;4389515;4389534;+
Dme-Mir-1_3p;FBgn0025574;0.388042080301134;6mer;0.0032602954894707;UTR3;FBtr0112907;868;888;chr3R;23861030;23861050;-
Dme-Mir-306_3p*;FBgn0033402;0.429424958245889;6mer;0.0060608647031732;UTR3;FBtr0333000;621;647;chr2R;9303444;9303470;-
Dme-Mir-184_5p*;FBgn0030774;0.93125143917732;7mer;0.0146521911724765;UTR3;FBtr0074363;331;350;chrX;16700777;16700796;-
Dme-Mir-306_3p*;FBgn0260632;0.44322003184174;6mer;0.0069776604512493;UTR3;FBtr0081007;856;871;chr2L;17439502;17439517;-
Dme-Mir-1_3p;FBgn0038134;0.483001320418479;6mer;0.0063977470695215;UTR3;FBtr0082775;61;75;chr3R;13292113;13292127;-
Dme-Let-7_5p;FBgn0030774;0.419061015476026;6mer;0.005367366193314;UTR3;FBtr0074363;252;270;chrX;16700698;16700716;-
Dme-Mir-190_5p;FBgn0030051;0.408597005762349;6mer;0.0046623026785873;UTR3;FBtr0332628;41;65;chrX;8571140;8571164;-
Dme-Mir-1_3p;FBgn0030774;0.394848751495289;6mer;0.0037273090348588;UTR3;FBtr0074363;202;226;chrX;16700648;16700672;-
Dme-Mir-317_5p*;FBgn0000250;0.471258568099514;8mer;0.02574109061699;CDS;FBtr0080846;298;314;chr2L;16314792;16314808;-
Dme-Mir-317_5p*;FBgn0260632;0.732695199106397;7mer;0.0271860393433945;UTR3;FBtr0081007;893;909;chr2L;17439539;17439555;-
Dme-Mir-1_3p;FBgn0003882;0.685550857679788;7mer;0.0164254649763001;UTR3;FBtr0302338;13;35;chr3R;4389398;4389420;+
Dme-Mir-965_5p*;FBgn0051217;0.559708265082932;7mer;0.014627968415496;UTR3;FBtr0083353;64;71;chr3R;16652510;16652517;-
Dme-Let-7_5p;FBgn0026760;0.432531841197646;8mer;0.0182831230892921;CDS;FBtr0346423;2261;2286;chr2L;13439138;13439163;+
Dme-Mir-190_5p;FBgn0033402;0.593766596400887;7mer;0.0132755264663682;UTR3;FBtr0333000;852;878;chr2R;9303675;9303701;-
Dme-Mir-1_3p;FBgn0262473;0.47833056257486;7mer;0.0058767427560676;CDS;FBtr0085059;479;496;chr3R;26838216;26838233;+
Dme-Mir-1_3p;FBgn0011274;0.363868574558908;7mer;0.0045966312336486;CDS;FBtr0301577;2793;2816;chr2L;17418936;17418959;-
Dme-Mir-1_3p;FBgn0003882;0.685550857679788;7mer;0.0057638879780251;CDS;FBtr0302338;947;962;chr3R;4388943;4388958;+
Dme-Mir-184_5p*;FBgn0033402;0.509087731253063;6mer;0.0112999606538605;UTR3;FBtr0333000;672;683;chr2R;9303495;9303506;-
Dme-Mir-184_5p*;FBgn0030774;0.93125143917732;8mer;0.0386471213401674;UTR3;FBtr0074363;337;354;chrX;16700783;16700800;-
Dme-Mir-190_5p;FBgn0026760;0.658604857135168;8mer;0.0214451118139449;UTR3;FBtr0346423;308;325;chr2L;13439573;13439590;+
Dme-Mir-317_5p*;FBgn0025574;0.384081570207429;6mer;0.002987190541152;UTR3;FBtr0112907;689;712;chr3R;23860851;23860874;-
Dme-Mir-317_5p*;FBgn0033402;0.38067686758286;7mer;0.0080261320920435;CDS;FBtr0333000;736;756;chr2R;9305341;9305361;-
Dme-Mir-984_5p;FBgn0025574;0.382528372814616;7mer;0.0084001825083371;CDS;FBtr0112907;100;118;chr3R;23861479;23861497;-
Dme-Mir-317_5p*;FBgn0040323;0.40498428563502;7mer;0.0128858845978088;CDS;FBtr0075050;1093;1117;chr3L;18677335;18677359;+
Dme-Mir-1_3p;FBgn0051217;0.392943408462581;7mer;0.010491835048933;CDS;FBtr0083353;940;957;chr3R;16653741;16653758;-
Dme-Mir-1_3p;FBgn0262473;0.47833056257486;8mer;0.0122932962550673;CDS;FBtr0085059;2686;2711;chr3R;26840540;26840565;+
Dme-Mir-317_5p*;FBgn0052382;0.417198071806691;6mer;0.0052422192755495;UTR3;FBtr0346808;15;32;chr3L;7439569;7439586;-
Dme-Let-7_5p;FBgn0025574;0.38185199784598;7mer;0.0082636183234302;CDS;FBtr0112907;100;125;chr3R;23861479;23861504;-
Dme-Mir-1_3p;FBgn0262473;0.47833056257486;7mer;0.0089231174190331;CDS;FBtr0085059;999;1023;chr3R;26838736;26838760;+
Dme-Mir-984_5p;FBgn0033402;0.411524382992216;8mer+wobble;0.0048600823684723;UTR3;FBtr0333000;461;476;chr2R;9303284;9303299;-
Dme-Mir-984_5p;FBgn0030774;0.418223748978099;6mer;0.0053111405682892;UTR3;FBtr0074363;252;273;chrX;16700698;16700719;-
Dme-Mir-984_5p;FBgn0026760;0.410399639751891;7mer;0.0139550272066936;CDS;FBtr0346423;2264;2286;chr2L;13439141;13439163;+
Dme-Mir-1_3p;FBgn0003882;0.685550857679788;8mer;0.0217847492215334;CDS;FBtr0302338;1343;1364;chr3R;4389339;4389360;+
Dme-Mir-190_5p;FBgn0033402;0.593766596400887;6mer;0.0036337349744119;UTR3;FBtr0333000;83;101;chr2R;9302906;9302924;-
Dme-Mir-1_3p;FBgn0038134;0.483001320418479;7mer;0.0103597324817833;CDS;FBtr0082775;277;295;chr3R;13292486;13292504;-
Dme-Mir-184_5p*;FBgn0003882;0.437420390358923;8mer;0.0192313997640583;CDS;FBtr0302338;1054;1081;chr3R;4389050;4389077;+
Dme-Mir-1_3p;FBgn0040323;0.377680884537284;7mer;0.0074193762172703;CDS;FBtr0075050;761;777;chr3L;18676939;18676955;+
Dme-Mir-984_5p;FBgn0011274;0.375911056668873;7mer;0.0070600584673246;CDS;FBtr0301577;890;912;chr2L;17416575;17416597;-
